"hour","age1","age2","age3","age4"
"4am",0.1806,0.2238,0.1451,0.135
"5am",0.1817,0.2185,0.1447,0.1366
"6am",0.1973,0.2189,0.1445,0.1366
"7am",0.3172,0.2152,0.1326,0.1589
"8am",0.3585,0.1913,0.1091,0.2091
"9am",0.3705,0.1949,0.1171,0.2142
"10am",0.3673,0.1932,0.1069,0.2171
"11am",0.3797,0.2023,0.1175,0.2156
"12am",0.3472,0.2014,0.1255,0.2033
"1pm",0.3551,0.2064,0.1158,0.2096
"2pm",0.3527,0.1826,0.1124,0.2001
"3pm",0.3361,0.1832,0.1119,0.2028
"4pm",0.2921,0.2051,0.1172,0.185
"5pm",0.2275,0.2167,0.1242,0.1518
"6pm",0.1891,0.2222,0.1343,0.1332
"7pm",0.1945,0.2044,0.1354,0.1325
"8pm",0.1935,0.2063,0.1445,0.1343
"9pm",0.1899,0.2021,0.1451,0.1352
"10pm",0.1914,0.2076,0.1483,0.1352
"11pm",0.1945,0.2112,0.1504,0.1352
"12pm",0.1848,0.2126,0.1503,0.1342
"1am",0.1818,0.2142,0.152,0.1328
"2am",0.1808,0.217,0.1518,0.1328
"3am",0.1804,0.2182,0.1511,0.1333
