"hour","act1","act2","act3","act4","act5"
"4am",0.4147,0.4581,0.92,0.5835,0
"5am",0.3681,0.4019,0.903,0.5773,0
"6am",0.3205,0.3382,0.8809,0.9031,0.5506
"7am",0.3159,0.2686,0.6534,0.7376,0.4495
"8am",0.3241,0.2385,0.594,0.4535,0.2702
"9am",0.3281,0.2371,0.5937,0.3511,0.2354
"10am",0.3247,0.2316,0.5856,0.3131,0.2066
"11am",0.3305,0.2362,0.5945,0.3595,0.1944
"12am",0.3664,0.2648,0.5994,0.5173,0.2346
"1pm",0.342,0.2437,0.6075,0.5017,0.1952
"2pm",0.3175,0.222,0.6077,0.4331,0.1515
"3pm",0.3207,0.2271,0.6192,0.4075,0.135
"4pm",0.3104,0.2434,0.6428,0.4314,0.183
"5pm",0.2941,0.2666,0.7606,0.4269,0.2084
"6pm",0.2746,0.295,0.8264,0.5347,0.1981
"7pm",0.307,0.3784,0.9524,0.6684,0.2783
"8pm",0.3242,0.4248,0.9535,0.88,0.3069
"9pm",0.3306,0.472,0.964,0.973,0.3264
"10pm",0.3535,0.469,0.984,0.9777,0.3547
"11pm",0.3865,0.5347,0.9843,0.3939,0
"12pm",0.3986,0.572,0.9843,0.4352,0
"1am",0.4121,0.5467,0.9841,0.4831,0
"2am",0.4399,0.5668,0.9837,0.5503,0
"3am",0.4549,0.6207,0.576,0,0
