"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.2843,0.1721,0.1392,0.2283
"5am",0.2875,0.1747,0.1364,0.2296
"6am",0.2896,0.1769,0.1347,0.2334
"7am",0.2995,0.1571,0.147,0.2274
"8am",0.314,0.1489,0.1672,0.2102
"9am",0.3144,0.1451,0.1843,0.1994
"10am",0.3142,0.1408,0.1834,0.2119
"11am",0.311,0.1345,0.186,0.2083
"12am",0.3146,0.1386,0.1777,0.2072
"1pm",0.31,0.1414,0.177,0.1955
"2pm",0.3113,0.1315,0.1716,0.194
"3pm",0.3185,0.1387,0.1658,0.2083
"4pm",0.3073,0.1423,0.1575,0.2085
"5pm",0.2963,0.1577,0.1537,0.2057
"6pm",0.2866,0.1536,0.1482,0.2114
"7pm",0.2823,0.1575,0.1444,0.2335
"8pm",0.2773,0.1645,0.1413,0.2214
"9pm",0.28,0.168,0.1382,0.2207
"10pm",0.2795,0.1682,0.1378,0.2211
"11pm",0.2806,0.1692,0.1393,0.2224
"12pm",0.2809,0.168,0.1378,0.2226
"1am",0.2808,0.1691,0.1368,0.2238
"2am",0.2816,0.1689,0.1364,0.2251
"3am",0.2819,0.1701,0.1364,0.2255
