"hour","sex1","sex2"
"4am",-0.0607109293572953,-0.0607109293572952
"5am",-0.0849436589376916,-0.0849436589376918
"6am",-0.0252700203561541,-0.0252700203561543
"7am",-0.168336377137105,-0.168336377137105
"8am",-0.132504756215442,-0.132504756215443
"9am",-0.096894845624187,-0.0968948456241869
"10am",-0.123422449636137,-0.123422449636137
"11am",-0.0452556339923776,-0.0452556339923775
"12am",-0.0534573701539018,-0.053457370153902
"1pm",-0.0506558115873755,-0.0506558115873755
"2pm",-0.00804226699848515,-0.00804226699848499
"3pm",-0.0105137750891786,-0.0105137750891785
"4pm",-0.0714742811849014,-0.0714742811849013
"5pm",-0.0775006441703502,-0.0775006441703504
"6pm",-0.0570819745037972,-0.0570819745037971
"7pm",-0.0990797152913349,-0.0990797152913349
"8pm",-0.111230907418862,-0.111230907418862
"9pm",-0.0878594478944796,-0.0878594478944789
"10pm",-0.069289218078677,-0.0692892180786771
"11pm",-0.101894339561267,-0.101894339561267
"12pm",-0.0837379515854761,-0.0837379515854761
"1am",-0.0547370341311907,-0.0547370341311912
"2am",-0.0480572348262527,-0.0480572348262528
"3am",-0.0462465203303387,-0.0462465203303387
