"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.1245,0.2062,0.2704,0.1278,0.1772
"5am",0.1216,0.2063,0.2684,0.1301,0.1783
"6am",0.1186,0.2253,0.2659,0.1329,0.1823
"7am",0.1266,0.3909,0.2355,0.1704,0.1929
"8am",0.1527,0.4397,0.2295,0.2306,0.2053
"9am",0.1554,0.4567,0.2091,0.2277,0.2194
"10am",0.152,0.4575,0.2293,0.2273,0.2181
"11am",0.1564,0.4671,0.2526,0.2321,0.2378
"12am",0.1418,0.4185,0.2361,0.215,0.2225
"1pm",0.1388,0.4402,0.2397,0.2171,0.2241
"2pm",0.1269,0.4283,0.2337,0.2079,0.2294
"3pm",0.1331,0.4086,0.2066,0.2125,0.2373
"4pm",0.1268,0.3469,0.2089,0.1938,0.2289
"5pm",0.1254,0.2624,0.2469,0.1509,0.1963
"6pm",0.1165,0.2226,0.2629,0.1292,0.1804
"7pm",0.117,0.2159,0.2624,0.1265,0.1778
"8pm",0.1174,0.2179,0.2679,0.128,0.1749
"9pm",0.1208,0.214,0.268,0.1304,0.1771
"10pm",0.1211,0.2122,0.2732,0.1296,0.1752
"11pm",0.1263,0.2193,0.2724,0.1304,0.1745
"12pm",0.1255,0.2137,0.2711,0.1291,0.1743
"1am",0.126,0.2125,0.2706,0.1278,0.1741
"2am",0.1258,0.2112,0.2738,0.1278,0.1744
"3am",0.1262,0.2112,0.2759,0.1285,0.1744
