"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.2532,0.2692,0.1646,0.1703,0.2115
"5am",0.2485,0.2738,0.1635,0.1657,0.2083
"6am",0.2376,0.2721,0.1606,0.1685,0.211
"7am",0.1996,0.2558,0.1559,0.1605,0.1996
"8am",0.216,0.2279,0.1375,0.1658,0.2017
"9am",0.2213,0.2264,0.1444,0.17,0.2075
"10am",0.2119,0.2217,0.1383,0.167,0.2216
"11am",0.2095,0.2267,0.1377,0.1595,0.2078
"12am",0.2171,0.2359,0.1338,0.1541,0.1881
"1pm",0.2168,0.2206,0.1347,0.1526,0.1932
"2pm",0.218,0.2041,0.1301,0.1437,0.1813
"3pm",0.2264,0.2138,0.1449,0.1536,0.196
"4pm",0.2174,0.2138,0.1501,0.1712,0.206
"5pm",0.2272,0.2265,0.1618,0.1569,0.2107
"6pm",0.227,0.2538,0.1698,0.1701,0.1932
"7pm",0.241,0.2597,0.1659,0.1616,0.2011
"8pm",0.2457,0.2634,0.1624,0.1669,0.2069
"9pm",0.2474,0.2663,0.1661,0.1697,0.2143
"10pm",0.25,0.2688,0.1648,0.1721,0.2142
"11pm",0.2512,0.2689,0.1693,0.1701,0.2149
"12pm",0.2541,0.2687,0.1695,0.1713,0.215
"1am",0.2569,0.2708,0.169,0.1707,0.2139
"2am",0.2569,0.2706,0.1696,0.17,0.2136
"3am",0.2582,0.2709,0.17,0.17,0.2138
