"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031"
"6pm";"2513.792";"3350.030";"3861.872";"1904.487";"4399.403";"2974.065";"2039.629";"2181.705";"2929.253";"2628.345";"2110.068";"2570.473";"1570.740";"2889.039";"1579.762";"1821.657";"1925.783";"1769.670";"2057.824";"4173.817";"3642.601";"5204.451";"2733.470";"4304.775";"5259.189";"4167.727";"4904.121";"3897.859";"4974.898";"5504.872";"4808.051"
"7pm";"1780.274";"3906.219";"3860.696";"2019.062";"4256.223";"3945.608";"2136.647";"2246.508";"3006.797";"2617.538";"2164.871";"2987.755";"1490.725";"2417.613";"1525.437";"1963.403";"2014.455";"2142.190";"1973.942";"2932.572";"4149.016";"5558.200";"3360.026";"4511.306";"5658.858";"4055.224";"4769.283";"3667.864";"5607.577";"6004.457";"4774.066"
"8pm";"1790.933";"3961.651";"3635.221";"1778.586";"4259.089";"4394.140";"2085.552";"2276.010";"2981.820";"2529.485";"2337.880";"3033.421";"1458.731";"2134.850";"1561.954";"2212.119";"2106.291";"2203.820";"2084.649";"2629.152";"4119.059";"5448.704";"3274.991";"4681.921";"5913.382";"4224.480";"5194.392";"3565.065";"5594.586";"6209.034";"4952.197"
"9pm";"1837.922";"4021.878";"3534.559";"1861.995";"4405.988";"4333.004";"2012.478";"2276.010";"3026.728";"2609.837";"2339.673";"3017.802";"1443.392";"1765.428";"1606.018";"2327.196";"2157.242";"2203.820";"1979.133";"2501.278";"4215.186";"5396.000";"3565.990";"4737.469";"5892.195";"4224.480";"5302.060";"3695.164";"5515.240";"6077.201";"4952.197"
"10pm";"1916.229";"4003.135";"3568.659";"1929.981";"4455.512";"4251.654";"2013.656";"2276.010";"3037.146";"2734.024";"2416.349";"3017.802";"1458.731";"1947.569";"1623.782";"2344.897";"2210.845";"2138.336";"1711.117";"2168.298";"4335.103";"5437.344";"3394.022";"4737.469";"5892.195";"4224.480";"5323.574";"3932.834";"5603.029";"5982.275";"5041.262"
"11pm";"1805.521";"3946.253";"3532.142";"1929.981";"4515.230";"4251.654";"2013.656";"2276.010";"3037.146";"2718.110";"2416.349";"3017.802";"1458.731";"1921.538";"1722.891";"2391.783";"2252.938";"2182.553";"1739.696";"2088.494";"4335.103";"5437.344";"3456.726";"4927.192";"5809.177";"4311.994";"5323.574";"3932.834";"5603.029";"5856.840";"5041.262"
"12pm";"1842.489";"3909.286";"3532.142";"1929.981";"4515.230";"4251.654";"1973.473";"2276.010";"3037.146";"2718.110";"2295.248";"3017.802";"1458.731";"1921.538";"1758.140";"2436.509";"2252.938";"2182.553";"1739.696";"2066.016";"4335.103";"5379.848";"3496.910";"4927.192";"5809.177";"4311.994";"5449.010";"3932.834";"5524.314";"5977.941";"5041.262"
"1am";"1754.003";"3923.364";"3510.627";"1967.939";"4433.385";"4251.654";"1928.520";"2312.460";"3118.991";"2718.110";"2295.248";"3017.802";"1473.000";"1943.053";"1758.140";"2436.509";"2277.628";"2182.553";"1665.972";"1990.741";"4335.103";"5379.848";"3541.862";"4927.192";"5809.177";"4311.994";"5597.554";"3932.834";"5529.761";"5977.941";"5114.986"
"2am";"1662.800";"3973.892";"3510.627";"1967.939";"4433.385";"4251.654";"1928.520";"2312.460";"3118.991";"2718.110";"2295.248";"3017.802";"1473.000";"1943.053";"1758.140";"2436.509";"2318.303";"2182.553";"1665.972";"1831.790";"4335.103";"5538.799";"3541.862";"4927.192";"5809.177";"4311.994";"5597.554";"3932.834";"5529.761";"5977.941";"5114.986"
"3am";"1662.800";"3905.535";"3510.627";"1967.939";"4433.385";"4188.950";"1928.520";"2312.460";"3118.991";"2786.467";"2295.248";"3017.802";"1473.000";"1943.053";"1758.140";"2436.509";"2318.303";"2182.553";"1665.972";"1910.191";"4335.103";"5538.799";"3604.566";"4848.790";"5809.177";"4311.994";"5597.554";"3932.834";"5529.761";"5977.941";"5114.986"
