"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.3076,0.2116,0.1177,0.107,0.2722
"5am",0.3048,0.2113,0.1166,0.1072,0.269
"6am",0.2997,0.212,0.1209,0.1061,0.2682
"7am",0.2888,0.2084,0.1213,0.1076,0.2592
"8am",0.292,0.216,0.1155,0.1016,0.2565
"9am",0.2871,0.2088,0.1135,0.0964,0.2572
"10am",0.2819,0.2156,0.1163,0.0966,0.2583
"11am",0.2837,0.2158,0.1104,0.0986,0.2624
"12am",0.2775,0.2246,0.1115,0.0966,0.2555
"1pm",0.2647,0.228,0.1048,0.0997,0.2503
"2pm",0.2567,0.2186,0.096,0.0977,0.2507
"3pm",0.2828,0.2175,0.101,0.1073,0.2463
"4pm",0.2757,0.2122,0.0986,0.1015,0.2628
"5pm",0.2835,0.2095,0.1015,0.0983,0.2792
"6pm",0.2985,0.2132,0.1075,0.1023,0.2673
"7pm",0.3099,0.2065,0.1087,0.1047,0.2696
"8pm",0.296,0.2041,0.1104,0.1124,0.2765
"9pm",0.3054,0.2078,0.1111,0.1102,0.2733
"10pm",0.3046,0.2082,0.111,0.1095,0.2752
"11pm",0.3056,0.2068,0.1123,0.1073,0.2729
"12pm",0.3087,0.208,0.1123,0.1068,0.2703
"1am",0.3076,0.2082,0.1127,0.1069,0.2717
"2am",0.3102,0.2065,0.113,0.1069,0.2717
"3am",0.31,0.2064,0.113,0.1077,0.2715
