"hour","age1","age2","age3","age4"
"4am",0.1916,0.1671,0.1452,0.1407
"5am",0.1923,0.17,0.1425,0.1405
"6am",0.2056,0.1745,0.1424,0.1433
"7am",0.2877,0.179,0.1412,0.1599
"8am",0.3,0.1701,0.1324,0.1972
"9am",0.2985,0.1707,0.1311,0.2008
"10am",0.3025,0.1753,0.1297,0.2066
"11am",0.3054,0.1722,0.1311,0.2108
"12am",0.2887,0.1746,0.1297,0.1976
"1pm",0.2912,0.172,0.127,0.1965
"2pm",0.2831,0.1681,0.1273,0.1931
"3pm",0.2791,0.1584,0.1225,0.1933
"4pm",0.2658,0.1519,0.1262,0.1759
"5pm",0.2293,0.1552,0.1305,0.16
"6pm",0.2151,0.1644,0.1313,0.1441
"7pm",0.212,0.1585,0.1372,0.1409
"8pm",0.2087,0.153,0.1387,0.1384
"9pm",0.2072,0.1531,0.1441,0.1376
"10pm",0.2062,0.1576,0.1473,0.1394
"11pm",0.2051,0.1601,0.1483,0.136
"12pm",0.2032,0.1571,0.1485,0.1354
"1am",0.2021,0.1572,0.1474,0.136
"2am",0.2011,0.1574,0.1473,0.1353
"3am",0.2011,0.1571,0.1468,0.1355
