"hour","act1","act2","act3","act4","act5"
"4am",0.4363,0.5108,0.9795,0.5615,0
"5am",0.3862,0.4229,0.9732,0.5489,0
"6am",0.3426,0.3708,0.8918,0.9552,0.5452
"7am",0.3034,0.2917,0.602,0.814,0.4046
"8am",0.2937,0.2737,0.5271,0.4075,0.2537
"9am",0.2978,0.2676,0.5209,0.4011,0.219
"10am",0.2896,0.26,0.5203,0.3887,0.2076
"11am",0.3008,0.2582,0.5113,0.4272,0.1906
"12am",0.3388,0.2688,0.5128,0.5199,0.2737
"1pm",0.3214,0.2645,0.5208,0.5297,0.227
"2pm",0.3095,0.2573,0.5144,0.4351,0.1907
"3pm",0.2904,0.2466,0.5221,0.4479,0.1729
"4pm",0.2857,0.2577,0.5482,0.4551,0.1902
"5pm",0.2852,0.2792,0.6558,0.4388,0.1937
"6pm",0.2686,0.3001,0.8192,0.465,0.2055
"7pm",0.2659,0.3695,0.889,0.7167,0.235
"8pm",0.2522,0.3961,0.9265,0.8512,0.2491
"9pm",0.2768,0.425,0.9804,0.9244,0.2832
"10pm",0.3182,0.4745,0.9885,0.9469,0.3276
"11pm",0.3836,0.5161,0.9683,0.427,0
"12pm",0.3941,0.5495,0.9584,0.4407,0
"1am",0.4249,0.5698,0.968,0.4942,0
"2am",0.4173,0.5647,0.968,0.5085,0
"3am",0.4194,0.566,0.9679,0.509,0
