"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.1428,0.2551,0.242,0.1367,0.2317
"5am",0.1402,0.2543,0.2385,0.1378,0.2314
"6am",0.1395,0.2716,0.2343,0.143,0.2313
"7am",0.1667,0.3893,0.2218,0.1703,0.2334
"8am",0.1929,0.4163,0.2366,0.2145,0.2652
"9am",0.1953,0.4308,0.2386,0.2131,0.2586
"10am",0.1949,0.4326,0.2462,0.2222,0.2692
"11am",0.1974,0.4294,0.2443,0.2291,0.2677
"12am",0.1881,0.4092,0.2351,0.2126,0.2608
"1pm",0.1803,0.4092,0.231,0.2125,0.2497
"2pm",0.1739,0.3978,0.2362,0.2023,0.2479
"3pm",0.1692,0.3921,0.2229,0.1988,0.258
"4pm",0.1586,0.3733,0.2216,0.1822,0.2541
"5pm",0.1448,0.3114,0.2158,0.1606,0.2406
"6pm",0.137,0.2673,0.229,0.1472,0.2323
"7pm",0.138,0.2644,0.2411,0.1401,0.2372
"8pm",0.1369,0.2597,0.2471,0.1351,0.2372
"9pm",0.1372,0.2564,0.2477,0.1345,0.2388
"10pm",0.1386,0.2599,0.2441,0.1369,0.2363
"11pm",0.1383,0.2577,0.2478,0.1357,0.2353
"12pm",0.1397,0.2581,0.2472,0.1347,0.2337
"1am",0.1395,0.2568,0.2453,0.1352,0.2331
"2am",0.1395,0.2562,0.2462,0.1345,0.2333
"3am",0.14,0.2567,0.2463,0.1347,0.2326
