"hour","mode1","mode2","mode3"
"4am",0.375,0.3119,0.2591
"5am",0.3719,0.3095,0.2577
"6am",0.393,0.314,0.2525
"7am",0.4422,0.3279,0.2347
"8am",0.4692,0.3388,0.224
"9am",0.4851,0.3466,0.2278
"10am",0.4862,0.353,0.2258
"11am",0.48,0.3534,0.231
"12am",0.453,0.3672,0.2536
"1pm",0.4431,0.3703,0.2557
"2pm",0.4426,0.3756,0.2626
"3pm",0.4454,0.3722,0.2633
"4pm",0.4562,0.3631,0.2574
"5pm",0.4112,0.345,0.2658
"6pm",0.3821,0.3242,0.2625
"7pm",0.3737,0.3126,0.257
"8pm",0.3822,0.314,0.258
"9pm",0.3846,0.3141,0.2542
"10pm",0.3855,0.3146,0.2563
"11pm",0.3825,0.3152,0.2582
"12pm",0.3812,0.3153,0.2594
"1am",0.3795,0.3167,0.2614
"2am",0.3794,0.3169,0.2613
"3am",0.3769,0.3161,0.2614
