"hour","age1","age2","age3","age4"
"4am",0.574656730645002,0.487020193767637,0.580492336416453,0.270112625754885
"5am",0.557105990931743,0.474743034510447,0.59138458951008,0.273233509413622
"6am",0.554368897291817,0.437611028502056,0.587749733434385,0.286214980465791
"7am",0.339490512150983,0.371845752271133,0.452905667876294,0.259834625645874
"8am",0.223148732546309,0.306076531777384,0.404430822615685,0.209401052251177
"9am",0.215264827230911,0.277595420358659,0.339467039372096,0.232822512105465
"10am",0.198196666058566,0.262163503755178,0.337447301415105,0.209262430771854
"11am",0.209660982899801,0.268747295860335,0.302162734680532,0.223967792157191
"12am",0.273631016336463,0.292303682606316,0.347365517072925,0.241983862082299
"1pm",0.253472408816144,0.2889782268223,0.307760253519226,0.255286052809356
"2pm",0.25247302729062,0.281083172755874,0.274845362203818,0.241060180476584
"3pm",0.253011320253103,0.267574972227355,0.295864029873667,0.224851250527031
"4pm",0.326997032801016,0.323373544966245,0.432649588499596,0.241001363739686
"5pm",0.419133801192008,0.332115859335417,0.46926070648971,0.275067472302751
"6pm",0.480058990884707,0.314433990865012,0.552504480133631,0.295071976347313
"7pm",0.484373578857487,0.377541791192692,0.580742261046136,0.250139396552821
"8pm",0.531725842489794,0.442872699590987,0.600243477432118,0.260329565132646
"9pm",0.526846211860684,0.455225607548129,0.557108692368681,0.249959948055889
"10pm",0.543172751493278,0.438611932767949,0.574661978124764,0.257851816441813
"11pm",0.565478359641893,0.468288976004661,0.57851156235644,0.260545302417965
"12pm",0.568227797538911,0.463067711186409,0.577690590442318,0.263795824790653
"1am",0.582889556937555,0.47456891315299,0.591214724725167,0.262164014869124
"2am",0.586184714083608,0.468309390397023,0.590485541618269,0.26578536943958
"3am",0.581759877541813,0.460906753400996,0.592959483103762,0.266938927478942
