"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.2395,0.1481,0.1167,0.2306
"5am",0.2359,0.1481,0.1179,0.2302
"6am",0.2408,0.1495,0.1166,0.2313
"7am",0.2422,0.1447,0.1143,0.2268
"8am",0.2534,0.1502,0.1136,0.2293
"9am",0.2475,0.1512,0.1041,0.23
"10am",0.2556,0.1523,0.1075,0.2236
"11am",0.26,0.1487,0.1067,0.2279
"12am",0.2644,0.1422,0.1128,0.2253
"1pm",0.2511,0.1495,0.1141,0.2222
"2pm",0.253,0.1491,0.115,0.2214
"3pm",0.2506,0.1595,0.1196,0.2239
"4pm",0.2453,0.1531,0.1221,0.2277
"5pm",0.2493,0.1442,0.115,0.2366
"6pm",0.2416,0.1404,0.1212,0.2217
"7pm",0.2499,0.1466,0.1204,0.2298
"8pm",0.2436,0.1458,0.1166,0.2303
"9pm",0.2438,0.1417,0.1159,0.23
"10pm",0.243,0.1436,0.1145,0.2302
"11pm",0.2446,0.1469,0.1148,0.2299
"12pm",0.2432,0.1478,0.1173,0.2305
"1am",0.2427,0.1483,0.1179,0.2304
"2am",0.2425,0.1485,0.1178,0.231
"3am",0.2412,0.1482,0.1184,0.2309
