"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.3638,0.2092,0.1211,0.142,0.2634
"5am",0.3626,0.2091,0.1216,0.1436,0.263
"6am",0.3503,0.2095,0.1203,0.1423,0.2633
"7am",0.3111,0.204,0.1175,0.1325,0.2505
"8am",0.3039,0.2028,0.1097,0.1275,0.2586
"9am",0.276,0.1937,0.1085,0.1191,0.2544
"10am",0.2837,0.1915,0.1114,0.1212,0.2594
"11am",0.2907,0.1957,0.1096,0.1182,0.2596
"12am",0.2936,0.2075,0.108,0.1184,0.2482
"1pm",0.2732,0.2064,0.1038,0.1233,0.25
"2pm",0.2658,0.2002,0.0985,0.1162,0.249
"3pm",0.2657,0.2025,0.1027,0.1262,0.2419
"4pm",0.2924,0.202,0.1022,0.1249,0.2491
"5pm",0.3222,0.2055,0.1094,0.132,0.2706
"6pm",0.3362,0.2079,0.114,0.1296,0.2582
"7pm",0.3513,0.2076,0.1173,0.1395,0.2562
"8pm",0.3431,0.2019,0.1195,0.1415,0.2713
"9pm",0.3551,0.2065,0.122,0.1427,0.272
"10pm",0.3544,0.2075,0.119,0.1433,0.2684
"11pm",0.3564,0.2058,0.1189,0.1409,0.262
"12pm",0.3603,0.2061,0.1191,0.1405,0.2616
"1am",0.3625,0.2059,0.1178,0.1425,0.262
"2am",0.3642,0.2046,0.1177,0.1423,0.2621
"3am",0.3655,0.2051,0.1178,0.1428,0.2608
