"hour","resarea1","resarea2","resarea3"
"4am",0.9806,0.9799,0.9825
"5am",0.9702,0.9707,0.9761
"6am",0.9474,0.9515,0.9628
"7am",0.82,0.8392,0.8861
"8am",0.7168,0.7138,0.7807
"9am",0.6744,0.655,0.7297
"10am",0.6561,0.6377,0.7144
"11am",0.6612,0.6495,0.7162
"12am",0.6907,0.6908,0.749
"1pm",0.6895,0.6762,0.7364
"2pm",0.6779,0.6545,0.72
"3pm",0.6852,0.659,0.7176
"4pm",0.7382,0.7146,0.7642
"5pm",0.8477,0.8208,0.8474
"6pm",0.9188,0.9033,0.9175
"7pm",0.9517,0.9374,0.9445
"8pm",0.961,0.9468,0.9517
"9pm",0.9682,0.9551,0.9578
"10pm",0.9792,0.9691,0.9696
"11pm",0.9886,0.9793,0.9779
"12pm",0.9905,0.9852,0.983
"1am",0.9915,0.9891,0.9884
"2am",0.9923,0.9912,0.9899
"3am",0.9927,0.9907,0.9901
