"hour","sex1","sex2"
"4am",0.0719,0.0719
"5am",0.0728,0.0728
"6am",0.0779,0.0779
"7am",0.1013,0.1013
"8am",0.1074,0.1074
"9am",0.1038,0.1038
"10am",0.108,0.108
"11am",0.1051,0.1051
"12am",0.0989,0.0989
"1pm",0.0997,0.0997
"2pm",0.098,0.098
"3pm",0.0973,0.0973
"4pm",0.0897,0.0897
"5pm",0.0815,0.0815
"6pm",0.0727,0.0727
"7pm",0.0706,0.0706
"8pm",0.067,0.067
"9pm",0.0683,0.0683
"10pm",0.0673,0.0673
"11pm",0.0678,0.0678
"12pm",0.0665,0.0665
"1am",0.0677,0.0677
"2am",0.0682,0.0682
"3am",0.0676,0.0676
