"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.2376,0.1371,0.1025,0.2173
"5am",0.2339,0.1362,0.1019,0.2147
"6am",0.2392,0.1385,0.1039,0.2133
"7am",0.2443,0.1422,0.1,0.2167
"8am",0.2561,0.1562,0.1039,0.2255
"9am",0.2516,0.1617,0.0944,0.2342
"10am",0.2682,0.167,0.0985,0.2309
"11am",0.2718,0.1576,0.1019,0.2271
"12am",0.2751,0.1593,0.1023,0.2269
"1pm",0.2627,0.1622,0.1055,0.222
"2pm",0.2668,0.1593,0.1076,0.2211
"3pm",0.2682,0.1635,0.1077,0.2207
"4pm",0.2506,0.1549,0.105,0.2268
"5pm",0.2502,0.1468,0.1014,0.2251
"6pm",0.2462,0.1385,0.104,0.2092
"7pm",0.2471,0.1346,0.1044,0.2113
"8pm",0.2419,0.1344,0.1033,0.2134
"9pm",0.2413,0.1353,0.1031,0.2142
"10pm",0.2412,0.1367,0.1007,0.2152
"11pm",0.242,0.1373,0.1006,0.2131
"12pm",0.2408,0.1378,0.0984,0.2135
"1am",0.2407,0.1381,0.0988,0.2135
"2am",0.2407,0.1381,0.0997,0.2136
"3am",0.2393,0.1379,0.1,0.2134
