"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"7038.866";"7038.866";"7038.866";"7038.866";"7038.866";"7038.866";"7038.866";"7038.866";"7038.866";"7038.866";"7038.866";"7038.866";"7038.866";"7038.866";"7038.866";"7038.866";"7038.866";"7038.866";"7038.866"
"4am";" 0";"0";"0";"0";"0";"0";"0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";"0";"0";"0"
"5am";" 0";"0";"0";" 0";"0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0"
"6am";"  0.000";"0";"0";"  0.000";"  0.000";"842.732";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000"
"7am";"1677.980";"   0.000";"   0.000";" 733.815";" 390.518";"3080.446";" 696.933";"   0.000";"   0.000";"1582.397";"   0.000";"   0.000";"1114.754";"1829.004";"   0.000";"   0.000";"   0.000";"   0.000";" 661.032"
"8am";"2982.628";"   0.000";"1113.770";"1390.894";" 728.242";"5741.627";"1513.490";" 994.157";" 548.921";"2962.785";" 538.749";"   0.000";"2128.159";"2789.417";"   0.000";" 772.741";"   0.000";"   0.000";"1543.726"
"9am";"3760.419";" 615.416";"1116.077";"1971.934";" 765.595";"7038.866";"1554.847";"1117.535";" 744.849";"3163.117";" 637.957";" 498.204";"2059.570";"2896.246";"   0.000";"1748.208";"   0.000";"   0.000";"1708.472"
"10am";"3757.368";" 562.350";"1047.578";"2237.350";" 838.861";"6970.347";"1565.998";"1357.850";" 685.690";"3297.296";" 538.749";" 892.092";"2385.450";"2940.401";"   0.000";"2087.991";"   0.000";" 457.055";"1822.794"
"11am";"3787.509";" 386.875";"1133.556";"1677.285";" 675.918";"6252.285";"1414.127";"1269.053";" 566.843";"3323.191";" 538.749";" 521.588";"2046.681";"2914.948";"   0.000";"1443.556";"   0.000";" 365.688";"1829.493"
"12am";"2761.538";" 506.314";" 883.937";"1324.209";" 365.646";"4507.796";" 959.162";" 726.458";" 559.160";"2101.688";" 491.708";"   0.000";"1210.909";"2081.798";"   0.000";" 543.704";"   0.000";"   0.000";"1080.726"
"1pm";"2837.028";" 553.756";"1049.070";"1243.153";" 589.287";"4936.929";"1189.064";" 632.564";" 606.696";"2950.282";" 479.810";" 462.384";"2122.793";"2602.362";"   0.000";" 806.264";"   0.000";" 447.956";"1642.305"
"2pm";"2973.489";" 534.496";" 835.956";"1333.398";" 756.828";"5308.781";"1097.203";"1130.069";" 570.979";"3005.168";" 803.438";" 581.859";"2346.146";"2567.992";"   0.000";"1837.243";"   0.000";" 600.591";"1980.063"
"3pm";"3115.768";" 671.747";"1225.686";"1288.458";" 695.770";"5557.890";"1145.028";"1047.492";" 475.404";"2838.515";" 739.115";" 736.803";"2720.482";"1983.736";"   0.000";"1812.362";"   0.000";" 416.381";"1966.764"
"4pm";"2715.649";" 588.363";" 870.452";"1644.020";" 689.037";"5272.210";"1007.916";"1080.468";" 667.977";"2491.926";" 680.527";" 384.987";"2609.912";"1974.120";"   0.000";"1384.652";"   0.000";"   0.000";"1603.659"
"5pm";"2060.845";"   0.000";" 569.898";"1538.367";" 433.801";"3208.303";" 859.120";" 657.655";"   0.000";"1539.302";" 333.137";" 778.810";"2087.163";"1190.859";"   0.000";"1637.674";"   0.000";"   0.000";"1283.009"
"6pm";"1020.412";"   0.000";"   0.000";"1600.602";" 525.932";"2104.146";"   0.000";" 525.936";"   0.000";" 690.794";"   0.000";"1378.876";"1177.295";" 746.321";"   0.000";"1154.548";"   0.000";"   0.000";" 892.065"
"7pm";" 798.109";"   0.000";"   0.000";"   0.000";"   0.000";"2066.330";"   0.000";"   0.000";"   0.000";" 823.983";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 557.401";"   0.000";"   0.000";" 735.388"
"8pm";" 530.373";"   0.000";"   0.000";"   0.000";"   0.000";"2965.539";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000"
"9pm";" 481.885";"   0.000";"   0.000";"   0.000";"   0.000";"2571.126";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000"
"10pm";"   0.000";"0";"   0.000";"   0.000";"   0.000";"1376.484";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0";"   0.000"
"11pm";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0"
"12pm";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0"
"1am";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";"0";"0";" 0"
"2am";" 0";"0";"0";" 0";"0";" 0";" 0";"0";"0";" 0";"0";" 0";"0";"0";"0";" 0";"0";"0";" 0"
"3am";" 0";"0";"0";" 0";"0";" 0";" 0";"0";"0";" 0";"0";" 0";"0";"0";"0";" 0";"0";"0";" 0"
