"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028"
"5pm";"1091.3270";"1587.7930";" 625.2488";" 707.7988";" 467.0302";" 739.1037";" 725.2311";" 317.4837";" 214.8841";" 655.1154";" 226.1737";" 802.8188";" 222.4460";"6942.3540";" 950.8361";" 662.2445";" 337.5155";"5062.5896";"8619.4121";"6517.8066";"3464.2625";"2187.8769";"2348.9768";"3412.6159";"3673.5265";" 135.2143";"2368.5939";"3551.1874"
"6pm";"  799.57625";" 1105.66069";"  314.94372";"  236.29427";"  230.44127";"  427.13319";"  103.10848";"  430.54816";"  140.74544";"  242.53787";"  230.25687";"  528.88336";"   69.42322";" 7276.51234";"  463.20841";"  314.04117";"  348.34926";" 5823.62800";"10203.66561";" 7529.65055";" 4038.10583";" 2865.03421";" 2919.15974";" 3796.79734";" 4506.69775";"   61.45612";" 3093.94847";" 3963.47582"
"7pm";"  805.47500";"  845.98106";"  128.18095";"  133.03086";"  306.79609";"  434.16796";"  172.27860";"   64.95912";"    0.00000";"  273.27888";"   79.41249";"  340.39060";"  126.67537";" 7268.93183";"  306.07982";"  156.15040";"  284.38385";" 6655.22474";"10657.95853";" 8285.77633";" 4230.59704";" 2989.38987";" 3250.56132";" 3991.85277";" 4961.22975";"   26.71495";" 3541.96106";" 4276.95393"
"8pm";"  497.62543";"  689.26133";"  128.18095";"   75.41884";"  202.15761";"  474.96259";"  172.27860";"   64.95912";"   16.31880";"  273.27888";"   19.00415";"  226.38579";"  105.51621";" 7463.24591";"  137.99731";"   57.25215";"  223.39032";" 7238.52157";"10470.67654";" 8637.09732";" 4308.06466";" 3197.13457";" 3262.00798";" 4173.36328";" 4945.84871";"    0.00000";" 3690.77857";" 4249.93816"
"9pm";"  430.54419";"  621.11405";"   84.48732";"   75.41884";"  145.33149";"  285.88283";"   51.01723";"   64.95912";"   16.31880";"  273.27888";"    0.00000";"  175.24773";"  105.51621";" 7839.03733";"   76.26357";"    0.00000";"   56.15600";" 7293.87155";"10707.54394";" 8950.50374";" 4345.35182";" 3331.19322";" 3262.00798";" 4184.24734";" 5147.93141";"    0.00000";" 3690.77857";" 4456.84787"
"10pm";"  308.14393";"  333.02800";"   84.48732";"   18.80980";"  145.33149";"  285.88283";"    0.00000";"   64.95912";"    0.00000";"  308.05893";"    0.00000";"  175.24773";"  105.51621";" 7876.54871";"    0.00000";"   13.73125";"   24.70223";" 7582.96993";"10602.80640";" 9172.04828";" 4440.31267";" 3399.22615";" 3282.49206";" 4149.46729";" 5164.60245";"    0.00000";" 3772.64166";" 4577.94588"
"11pm";"   93.77306";"  333.02800";"   84.48732";"   18.80980";"  145.33149";"  268.86713";"    0.00000";"    0.00000";"    0.00000";"  308.05893";"    0.00000";"   63.93879";"   57.25215";" 7868.56206";"    0.00000";"   13.73125";"   24.70223";" 7517.76968";"10993.68646";" 9257.96275";" 4507.47184";" 3433.01907";" 3300.38859";" 4149.46729";" 5200.84346";"    0.00000";" 3743.81594";" 4736.22689"
"12pm";"   93.77306";"  401.34653";"   84.48732";"   18.80980";"    0.00000";"  268.86713";"    0.00000";"    0.00000";"    0.00000";"  308.05893";"    0.00000";"   63.93879";"   57.25215";" 8110.42167";"    0.00000";"   13.73125";"   24.70223";" 7517.76968";"10993.68646";" 9189.64422";" 4507.47184";" 3450.03477";" 3300.38859";" 4149.46729";" 5200.84346";"    0.00000";" 3719.16915";" 4787.88887"
"1am";"   13.73125";"  401.34653";"   19.52820";"   18.80980";"    0.00000";"  268.86713";"    0.00000";"    0.00000";"    0.00000";"  308.05893";"    0.00000";"   18.80980";"   57.25215";" 8151.06530";"    0.00000";"   13.73125";"   24.70223";" 7608.57697";"10993.68646";" 9254.60334";" 4507.47184";" 3465.36814";" 3300.38859";" 4190.67562";" 5200.84346";"    0.00000";" 3719.16915";" 4787.88887"
"2am";"   13.73125";"  401.34653";"   19.52820";"   18.80980";"    0.00000";"  268.86713";"    0.00000";"    0.00000";"    0.00000";"  308.05893";"    0.00000";"   18.80980";"   57.25215";" 8151.06530";"    0.00000";"   13.73125";"   24.70223";" 7608.57697";"10993.68646";" 9254.60334";" 4507.47184";" 3465.36814";" 3300.38859";" 4190.67562";" 5200.84346";"    0.00000";" 3719.16915";" 4787.88887"
"3am";"   13.73125";"  401.34653";"   19.52820";"   18.80980";"    0.00000";"  268.86713";"    0.00000";"    0.00000";"    0.00000";"  308.05893";"    0.00000";"   18.80980";"   57.25215";" 8151.06530";"    0.00000";"   13.73125";"   24.70223";" 7608.57697";"10993.68646";" 9254.60334";" 4507.47184";" 3465.36814";" 3300.38859";" 4190.67562";" 5200.84346";"    0.00000";" 3719.16915";" 4787.88887"
