"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041"
"1pm";"43.34221";"44.11009";"49.75922";"53.86092";"38.07974";"39.78486";"37.63945";"32.48115";"49.21857";"47.45721";"53.35206";"58.09128";"46.15422";"37.67127";"46.70193";"44.27811";"42.85334";"52.61691";"55.14311";"44.83597";"39.19554";"48.45887";"47.13748";"39.40550";"45.50509";"42.94840";"43.88156";"47.84940";"45.01750";"44.57535";"49.83587";"38.84786";"35.40651";"44.08680";"47.47383";"49.33537";"42.67301";"55.89170";"36.47006";"39.04688";"56.40772"
"2pm";"43.25767";"44.41333";"48.19382";"54.86775";"39.54903";"42.09922";"37.55771";"35.93658";"46.50517";"49.15083";"52.86194";"54.41968";"44.83589";"42.50325";"48.46029";"42.29016";"43.16786";"52.64369";"53.62101";"43.51796";"37.87470";"45.27364";"47.77626";"43.37116";"46.88989";"43.49133";"41.57218";"50.51456";"48.48466";"49.14332";"47.99589";"43.39390";"34.70855";"43.33529";"48.06465";"48.31527";"46.74855";"55.25031";"38.29408";"39.99115";"56.29827"
"3pm";"43.96613";"44.08377";"51.42259";"57.29803";"38.14102";"42.78882";"37.40749";"38.06599";"50.17621";"44.26755";"54.71128";"54.26995";"46.07633";"44.11882";"47.78392";"42.56039";"43.19812";"48.67869";"55.45463";"45.62108";"39.67108";"45.23602";"46.20466";"43.23870";"48.92616";"42.83826";"44.56319";"49.91505";"48.55443";"47.29439";"47.01723";"41.23263";"32.11264";"49.30848";"47.60719";"48.15732";"42.83960";"53.66018";"40.08094";"39.98873";"57.32179"
"4pm";"47.70585";"50.72628";"47.85853";"58.34001";"39.36350";"42.10783";"36.19078";"39.68582";"49.21590";"46.95310";"53.26413";"51.70498";"46.21647";"41.98677";"47.59920";"43.78839";"43.91779";"48.69153";"62.35000";"46.11209";"41.97839";"39.52143";"44.73433";"38.89331";"49.83114";"46.00755";"41.67250";"48.78346";"45.17805";"49.11539";"45.45291";"45.44656";"34.26062";"49.93570";"45.56842";"47.65735";"43.91457";"59.39512";"38.14332";"42.82594";"49.49685"
"5pm";"45.64063";"49.26664";"46.26705";"45.44594";"46.34683";"42.64009";"48.80506";"37.08260";"50.54278";"46.21579";"52.17247";"57.71852";"43.39704";"42.45799";"48.29103";"45.29214";"40.91193";"49.14038";"55.22327";"51.73827";"43.90443";"47.90449";"47.94320";"40.76316";"50.65228";"48.26673";"38.53704";"53.14813";"46.77408";"48.30016";"44.31005";"44.08143";"35.68187";"52.39097";"45.05689";"50.22070";"47.41803";"54.37204";"40.67523";"44.90422";"51.52588"
"6pm";"50.06767";"42.74091";"50.66214";"47.91080";"46.59134";"47.28258";"45.70787";"38.05472";"49.38315";"47.12486";"49.76260";"52.31656";"43.61460";"44.88932";"43.85682";"48.99573";"43.97454";"47.49507";"52.06035";"50.27193";"44.11462";"53.39771";"47.73052";"43.69013";"50.80525";"48.24578";"45.27851";"51.96618";"47.71451";"44.83323";"45.09931";"43.49802";"39.74875";"51.45748";"49.70715";"49.26568";"45.93155";"51.14927";"44.90482";"44.60982";"51.28672"
"7pm";"53.36321";"44.17889";"49.22649";"50.10234";"46.45607";"42.81508";"48.15988";"41.67137";"48.46582";"46.12039";"51.11284";"51.49681";"43.60826";"45.91280";"43.65592";"48.01427";"44.49770";"46.23305";"52.11169";"52.28530";"41.83519";"51.91220";"45.58551";"43.36352";"52.05502";"47.82224";"45.21282";"52.28150";"48.84292";"45.84166";"42.79212";"45.75811";"39.89864";"51.69507";"50.14318";"49.82420";"46.33336";"50.58453";"43.33988";"44.21375";"54.38214"
"8pm";"53.08759";"45.81324";"49.63867";"49.41893";"47.84007";"44.85345";"47.49865";"41.00121";"45.87648";"47.45122";"47.53076";"52.64099";"44.59235";"44.40569";"42.20245";"46.68127";"43.36871";"47.18989";"49.01684";"51.18094";"43.06120";"50.87601";"46.11398";"42.36947";"53.30332";"47.66706";"46.77251";"53.32290";"47.51415";"46.71815";"40.00797";"45.76513";"40.60799";"51.14896";"51.88233";"50.13671";"43.98465";"50.85829";"41.59644";"45.43470";"54.85388"
"9pm";"54.38091";"45.16122";"51.73704";"50.15925";"48.87618";"44.28789";"48.39347";"40.88363";"45.96468";"47.78983";"48.41787";"52.91267";"44.91964";"44.31699";"43.14317";"48.14041";"43.29724";"45.47846";"49.16715";"50.75025";"42.00391";"50.64707";"46.75765";"42.19815";"52.31100";"49.06625";"45.35536";"54.20660";"46.83857";"45.52018";"40.57655";"46.30206";"39.91803";"50.58661";"51.03844";"50.34984";"43.27168";"52.47365";"41.33548";"45.51928";"54.91809"
"10pm";"53.96804";"44.75037";"50.34649";"50.55974";"49.33546";"43.59644";"48.42037";"42.19672";"45.72276";"46.34887";"48.36844";"51.77428";"45.03242";"45.19380";"42.91226";"48.52261";"43.76257";"44.24665";"50.33244";"50.96751";"42.45078";"50.63988";"48.16746";"42.08771";"53.00763";"48.72656";"44.75467";"54.41316";"47.23934";"46.06110";"40.84704";"46.74455";"39.96916";"50.78554";"50.87093";"50.60937";"42.74312";"52.79018";"41.69560";"46.09674";"54.33204"
"11pm";"52.48353";"45.06007";"51.19103";"51.92702";"48.82763";"43.59644";"48.08794";"42.19672";"45.72276";"46.87731";"48.04560";"51.90305";"45.03242";"45.43333";"42.56757";"48.83938";"43.62427";"44.39562";"50.47146";"50.96751";"42.97332";"50.63988";"48.16746";"42.24300";"53.00763";"48.72656";"44.72077";"55.25499";"47.47347";"46.06110";"42.18944";"45.95825";"40.08717";"50.78554";"50.87093";"50.60937";"43.06461";"52.79018";"40.93464";"46.62724";"53.80757"
"12pm";"53.09692";"44.64188";"50.81669";"52.39255";"48.82763";"43.61771";"47.01156";"41.93702";"45.72276";"46.90589";"48.04560";"51.91810";"45.03242";"45.43333";"42.56757";"48.83938";"43.62427";"44.31503";"50.02409";"50.96751";"42.97332";"50.63988";"48.16746";"42.24300";"53.00763";"48.74406";"44.80107";"55.25499";"47.47347";"46.11575";"42.65004";"47.11746";"40.08717";"50.78554";"50.86453";"50.60937";"42.90464";"53.01624";"41.04985";"46.62724";"53.80757"
"1am";"52.68731";"45.06007";"50.81669";"52.39255";"48.82763";"44.21703";"45.88959";"41.93702";"45.77074";"47.32097";"48.04560";"51.66490";"45.03242";"45.43333";"42.56757";"48.83938";"43.62427";"44.31503";"50.43893";"50.96751";"42.97332";"50.63988";"48.16746";"42.24300";"53.00763";"48.74406";"44.80107";"55.25499";"47.47347";"46.11575";"42.65004";"47.11746";"40.08717";"50.78554";"50.86453";"50.93208";"43.42103";"53.01624";"40.78803";"46.62724";"53.80757"
"2am";"52.65229";"45.06007";"50.81669";"52.39255";"48.82763";"44.21703";"45.88959";"41.93702";"46.24013";"47.32097";"48.04560";"51.19365";"45.03242";"45.43333";"42.56757";"48.83938";"43.62427";"44.31503";"50.43893";"50.96751";"42.97332";"50.63988";"48.16746";"42.24300";"53.00763";"48.74406";"44.46291";"55.25499";"47.47347";"46.48200";"42.65004";"47.11746";"40.08717";"50.78554";"50.86453";"50.93208";"43.42103";"53.01624";"41.44003";"46.62724";"53.80757"
"3am";"52.65229";"44.03980";"50.81669";"52.39255";"49.49989";"44.21703";"45.88959";"41.93702";"46.24013";"47.32097";"48.04560";"51.19365";"45.03242";"45.43333";"42.56757";"48.83938";"43.62427";"44.31503";"50.43893";"50.96751";"42.97332";"50.63988";"48.16746";"42.24300";"53.00763";"48.74406";"44.46291";"55.25499";"47.47347";"46.48200";"42.34917";"47.66205";"40.08717";"50.78554";"50.86453";"50.93208";"43.42103";"53.01624";"41.44003";"46.62724";"53.80757"
