"district","hour","rev5","rev1","rev2","rev3","rev4"
"001","4am",18.66667,6.814815,10.81481,24.59259,39.111111
"050","4am",19.39408,10.042939,10.90172,22.39981,37.26145
"100","4am",21.96339,15.47421,16.63894,22.08819,23.835275
"120","4am",25.83072,8.589342,17.68025,26.01881,21.880878
"140","4am",23.23173,11.778633,16.92809,26.27996,21.781592
"180","4am",24.51023,9.14236,19.28603,25.25033,21.811058
"200","4am",22.63919,8.920332,17.71763,26.39188,24.330975
"240","4am",19.72819,8.198159,11.92459,26.08505,34.064007
"260","4am",24.86756,8.413836,16.42256,27.9838,22.312247
"300","4am",24.41183,2.395856,13.92186,30.52018,28.75027
"350","4am",26.94476,4.960541,11.16122,27.6212,29.312289
"360","4am",25.5,5.1,15.7,29.3,24.4
"400","4am",22.98547,2.774108,17.43725,27.60898,29.194188
"425","4am",24.43623,3.770795,17.07948,28.90943,25.804067
"450","4am",24.47611,4.526404,15.17184,27.32607,28.499581
"500","4am",25.52448,2.472527,13.58641,31.41858,26.998002
"560","4am",27.51866,2.985075,15.76493,26.49254,27.238806
"600","4am",26.18026,23.60515,15.45064,19.95708,14.806867
"625","4am",26.94938,10.123119,17.60146,25.62699,19.699042
"650","4am",21.18758,5.128205,11.33603,35.49258,26.855601
"700","4am",23.24263,5.668934,16.15646,31.46259,23.469388
"750","4am",28.0888,9.073359,17.56757,26.06178,19.208494
"800","4am",29.62963,8.94405,17.6911,25.1379,18.597321
"820","4am",25.95495,7.541626,20.32321,30.11753,16.062684
"840","4am",27.10706,5.770691,20.80486,27.18299,19.134396
"845","4am",23.60379,8.429926,30.55848,28.76712,8.640674
"001","5am",18.70702,6.464924,10.59147,25.17194,39.064649
"050","5am",19.42395,9.926208,11.06879,22.35182,37.229231
"100","5am",22.11457,15.627633,16.38585,21.94608,23.925864
"120","5am",25.77385,8.46494,17.75111,26.02653,21.983575
"140","5am",23.09727,11.666177,16.77931,26.44725,22.009991
"180","5am",24.5637,9.031414,19.19721,25.30541,21.902269
"200","5am",22.58361,8.867751,17.88892,26.41915,24.240565
"240","5am",19.78214,8.278867,11.89542,26.10022,33.943355
"260","5am",24.94523,8.388106,16.15023,28.01252,22.503912
"300","5am",24.56025,2.396658,13.98417,30.51891,28.540018
"350","5am",26.85185,5.092593,11.22685,27.5463,29.282407
"360","5am",25.81633,5.204082,15.81633,28.87755,24.285714
"400","5am",22.98547,2.774108,17.43725,28.13738,28.665786
"425","5am",24.70897,3.755163,17.2362,28.61434,25.685317
"450","5am",24.27598,4.599659,14.99148,27.34242,28.79046
"500","5am",25.53084,2.527806,13.62487,31.31951,26.996967
"560","5am",27.58621,2.969349,16.18774,25.95785,27.298851
"600","5am",25.74468,22.978723,15.31915,20.85106,15.106383
"625","5am",27.21461,10.136986,17.26027,25.34247,20.045662
"650","5am",21.03121,5.156038,11.39756,35.54953,26.865672
"700","5am",23.51926,5.750431,16.27372,31.28235,23.174238
"750","5am",28.1592,9.353234,17.11443,26.36816,19.004975
"800","5am",29.5036,8.967174,17.61409,25.14011,18.77502
"820","5am",26.13065,7.688442,20.35176,30.05025,15.778894
"840","5am",27.21617,5.754277,20.76205,27.21617,19.051322
"845","5am",23.88393,8.816964,31.13839,27.67857,8.482143
"001","6am",18.60885,5.058717,10.84011,27.19061,38.301716
"050","6am",19.65345,9.68431,11.01353,22.76288,36.88583
"100","6am",22.08068,15.07431,16.30573,22.16561,24.373673
"120","6am",26.60131,8.300654,17.5817,26.53595,20.980392
"140","6am",22.52685,11.1645,16.987,26.76653,22.555116
"180","6am",24.78594,9.058134,19.2429,24.78594,22.127084
"200","6am",22.3138,8.974359,17.91819,26.80098,23.992674
"240","6am",19.97472,8.091024,11.92583,26.21155,33.796882
"260","6am",25.33504,8.391832,16.01787,28.20676,22.0485
"300","6am",24.92121,2.618182,14.61818,30.30303,27.539394
"350","6am",27.92553,5.984043,11.03723,28.05851,26.994681
"360","6am",26.082,5.353075,17.08428,27.67654,23.8041
"400","6am",23.48805,3.375527,17.72152,27.56681,27.848101
"425","6am",24.97969,4.021121,17.34362,28.75711,24.898457
"450","6am",24.51791,4.775023,15.24334,26.90542,28.55831
"500","6am",25.73648,2.678093,13.92608,31.11944,26.539904
