"district","hour","rev5","rev1","rev2","rev3","rev4"
"001","4am",1749.792,638.8128,1013.7681,2305.281,3666.2299
"050","4am",11290.321,5846.5256,6346.4661,13040.113,21691.86
"100","4am",7332.46,5166.0512,5554.8937,7374.121,7957.3853
"120","4am",5721.541,1902.5511,3916.2001,5763.202,4846.6448
"140","4am",10901.479,5527.1193,7943.498,12331.864,10221.0044
"180","4am",7818.513,2916.3192,6152.0448,8054.596,6957.5044
"200","4am",10221.004,4027.2979,7999.047,11915.247,10984.8023
"240","4am",6249.255,2596.9128,3777.3277,8262.904,10790.3811
"260","4am",11082.013,3749.5533,7318.5725,12470.736,9943.2598
"300","4am",15706.462,1541.483,8957.2661,19636.549,18497.7961
"350","4am",3319.049,611.0383,1374.8362,3402.372,3610.6809
"360","4am",3541.245,708.2489,2180.2958,4068.96,3388.4852
"400","4am",2416.379,291.6319,1833.1149,2902.432,3069.0788
"425","4am",9179.462,1416.4979,6415.9022,10859.817,9693.2895
"450","4am",4055.072,749.9107,2513.5894,4527.238,4721.6597
"500","4am",14192.753,1374.8362,7554.6555,17470.141,15012.1003
"560","4am",4096.734,444.3915,2346.9426,3943.975,4055.0724
"600","4am",1694.243,1527.5958,999.8809,1291.513,958.2192
"625","4am",8207.355,3082.966,5360.4724,7804.626,5999.2852
"650","4am",2180.296,527.7149,1166.5277,3652.343,2763.5596
"700","4am",5693.766,1388.7234,3957.8618,7707.415,5749.315
"750","4am",4041.185,1305.4,2527.4766,3749.553,2763.5596
"800","4am",10443.2,3152.4022,6235.3682,8860.055,6554.7746
"820","4am",7360.234,2138.6341,5763.2022,8540.649,4555.0129
"840","4am",4957.743,1055.4298,3805.1022,4971.63,3499.583
"845","4am",3110.74,1110.9787,4027.2979,3791.215,1138.7532
"001","5am",1888.664,652.7,1069.317,2541.364,3943.9745
"050","5am",11331.983,5790.9767,6457.5639,13040.113,21719.6344
"100","5am",7290.798,5152.1639,5402.1341,7235.249,7887.9491
"120","5am",5665.992,1860.8894,3902.3128,5721.541,4832.7575
"140","5am",10915.366,5513.232,7929.6108,12498.511,10401.5385
"180","5am",7818.513,2874.6575,6110.3831,8054.596,6971.3916
"200","5am",10221.004,4013.4107,8096.2576,11956.909,10970.9151
"240","5am",6304.804,2638.5745,3791.215,8318.453,10818.1555
"260","5am",11068.126,3721.7788,7165.8129,12429.075,9984.9215
"300","5am",15512.041,1513.7085,8832.281,19275.481,18025.6301
"350","5am",3221.838,611.0383,1347.0617,3305.162,3513.4703
"360","5am",3513.47,708.2489,2152.5213,3930.087,3305.1618
"400","5am",2416.379,291.6319,1833.1149,2957.981,3013.5298
"425","5am",9137.8,1388.7234,6374.2405,10582.073,9498.8683
"450","5am",3957.862,749.9107,2444.1532,4457.802,4693.8852
"500","5am",14026.107,1388.7234,7485.2193,17206.283,14831.5662
"560","5am",3999.523,430.5043,2346.9426,3763.44,3957.8618
"600","5am",1680.355,1499.8213,999.8809,1360.949,985.9936
"625","5am",8276.792,3082.966,5249.3746,7707.415,6096.4959
"650","5am",2152.521,527.7149,1166.5277,3638.455,2749.6724
"700","5am",5679.879,1388.7234,3930.0873,7554.655,5596.5554
"750","5am",3930.087,1305.4,2388.6043,3680.117,2652.4618
"800","5am",10234.892,3110.7405,6110.3831,8721.183,6513.1129
"820","5am",7221.362,2124.7468,5624.3299,8304.566,4360.5916
"840","5am",4860.532,1027.6553,3707.8916,4860.532,3402.3724
"845","5am",2971.868,1097.0915,3874.5384,3444.034,1055.4298
"001","6am",2860.77,777.6851,1666.468,4180.058,5888.1873
"050","6am",11498.63,5665.9916,6443.677,13317.858,21580.7621
"100","6am",7221.362,4929.9682,5332.698,7249.136,7971.2725
"120","6am",5652.104,1763.6788,3735.666,5638.217,4457.8022
"140","6am",11068.126,5485.4575,8346.228,13151.211,11082.013
"180","6am",7637.979,2791.3341,5929.849,7637.979,6818.632
"200","6am",10151.568,4082.8469,8151.807,12192.992,10915.3662
"240","6am",6582.549,2666.349,3930.087,8637.86,11137.5619
"260","6am",11026.464,3652.3426,6971.392,12276.315,9596.0789
"300","6am",14276.077,1499.8213,8374.002,17359.043,15775.8982
"350","6am",2916.319,624.9255,1152.64,2930.206,2819.1086
"360","6am",3180.177,652.7,2083.085,3374.598,2902.432
"400","6am",2319.168,333.2936,1749.792,2721.898,2749.6724
"425","6am",8540.649,1374.8362,5929.849,9832.162,8512.8746
"450","6am",3707.892,722.1362,2305.281,4068.96,4318.9299
"500","6am",13345.632,1388.7234,7221.362,16136.966,13762.2492
"560","6am",3735.666,388.8426,2180.296,3513.47,3569.0192
"600","6am",1944.213,1458.1596,1124.866,1597.032,1402.6107
"625","6am",8193.468,2999.6426,5221.6,7637.979,6096.4959
"650","6am",1985.875,527.7149,1138.753,3430.147,2541.3639
"700","6am",5193.826,1360.949,3818.989,6832.519,5249.3746
"750","6am",3582.906,1249.8511,2277.506,3332.936,2319.1681
"800","6am",9693.29,3013.5298,5735.428,8012.934,5915.9618
"820","6am",6388.128,2110.8596,5013.292,7263.024,3666.2299
"840","6am",4360.592,1013.7681,3319.049,4221.719,2985.7554
"845","6am",2749.672,1055.4298,3569.019,3055.192,944.3319
"001","7am",4957.743,916.5575,2610.8,7943.498,10345.9896
"050","7am",12068.007,5652.1044,6874.181,14123.317,21191.9195
"100","7am",7040.828,4846.6448,5082.7278,7263.024,7679.6406
"120","7am",5679.879,1805.3405,3749.5533,5749.315,4388.366
"140","7am",11706.939,5374.3597,8471.2129,13484.505,11734.713
"180","7am",7013.053,2513.5894,5346.5852,6804.745,6179.8193
"200","7am",10304.328,4249.4937,8151.8065,12484.624,10957.0279
"240","7am",6568.662,2624.6873,4221.7192,8818.394,10818.1555
"260","7am",10804.268,3513.4703,6776.9703,11734.713,9582.1917
"300","7am",12776.256,1499.8213,7512.9938,14831.566,12581.8343
"350","7am",2471.928,611.0383,1069.317,2416.379,2208.0703
"360","7am",2721.898,597.1511,1833.1149,2694.123,2152.5213
"400","7am",1971.987,347.1809,1541.483,2208.07,2110.8596
"425","7am",7138.038,1333.1745,5179.9384,7832.4,6707.5342
"450","7am",3402.372,694.3617,1999.7617,3527.358,3430.1469
"500","7am",12165.217,1347.0617,6763.0831,14720.468,11498.63
"560","7am",3541.245,347.1809,1888.6639,2944.094,2749.6724
"600","7am",2499.702,1472.0468,1485.9341,2666.349,2610.8
"625","7am",8137.919,2985.7554,4902.1937,7165.813,5749.315
"650","7am",1652.581,499.9404,972.1064,2541.364,1916.4383
"700","7am",4846.645,1235.9639,3527.3575,5513.232,4207.832
"750","7am",3221.838,1166.5277,2013.649,2860.77,2013.649
"800","7am",8985.041,2832.9958,5416.0214,7304.685,5179.9384
"820","7am",5832.638,2041.4234,4443.915,6346.466,2985.7554
"840","7am",3888.426,1013.7681,2916.3192,3499.583,2610.8
"845","7am",2666.349,944.3319,3152.4022,2624.687,722.1362
"001","8am",6749.196,1041.5426,3541.2447,11304.209,16011.9811
"050","8am",12054.119,5790.9767,8193.4682,14428.836,20025.3919
"100","8am",7096.377,4555.0129,4999.4043,7179.7,6999.1661
"120","8am",5804.864,1902.5511,3805.1022,5985.398,4888.3065
"140","8am",11859.698,5402.1341,8485.1002,13956.67,12665.1577
"180","8am",6332.579,2221.9575,4721.6597,6346.466,5471.5703
"200","8am",10345.99,4402.2533,8498.9874,12887.353,11151.4491
"240","8am",6610.324,2666.349,4430.0277,9207.236,10582.0725
