"district","hour","mode1","mode2","mode3"
"001","4am",0,1569.2575,0
"050","4am",333.2936,1985.8745,0
"100","4am",0,1499.8213,0
"120","4am",0,583.2638,0
"140","4am",249.9702,2374.7171,0
"180","4am",0,749.9107,0
"200","4am",0,1860.8894,0
"240","4am",0,1374.8362,0
"260","4am",0,1999.7617,0
"300","4am",0,305.5192,0
"350","4am",0,0,0
"360","4am",0,0,0
"400","4am",0,0,0
"425","4am",0,361.0681,0
"450","4am",0,0,0
"500","4am",0,541.6021,0
"560","4am",0,0,0
"600","4am",180.534,458.2787,0
"625","4am",166.6468,1485.9341,0
"650","4am",0,208.3085,0
"700","4am",0,347.1809,0
"750","4am",0,166.6468,0
"800","4am",0,1388.7234,0
"820","4am",0,680.4745,0
"840","4am",0,236.083,0
"845","4am",0,0,0
"001","5am",333.2936,1944.2128,0
"050","5am",555.4894,2235.8447,0
"100","5am",0,1722.0171,0
"120","5am",0,638.8128,0
"140","5am",347.1809,3082.966,0
"180","5am",0,1083.2043,0
"200","5am",0,2263.6192,0
"240","5am",0,1763.6788,0
"260","5am",0,2180.2958,0
"300","5am",0,416.617,0
"350","5am",0,0,0
"360","5am",0,0,0
"400","5am",0,277.7447,0
"425","5am",0,388.8426,0
"450","5am",0,194.4213,0
"500","5am",0,666.5872,0
"560","5am",0,0,0
"600","5am",208.3085,569.3766,0
"625","5am",208.3085,1777.566,0
"650","5am",0,208.3085,0
"700","5am",0,430.5043,0
"750","5am",0,0,0
"800","5am",0,1555.3702,0
"820","5am",0,736.0234,0
"840","5am",0,291.6319,0
"845","5am",0,0,0
"001","6am",3138.515,4346.7043,388.8426
"050","6am",1124.866,3402.3724,166.6468
"100","6am",249.9702,2916.3192,0
"120","6am",180.534,1263.7383,0
"140","6am",1138.7532,6013.1725,0
"180","6am",166.6468,1944.2128,0
"200","6am",680.4745,3916.2001,0
"240","6am",708.2489,3235.7256,0
"260","6am",194.4213,3263.5001,0
"300","6am",0,847.1213,0
"350","6am",0,0,0
"360","6am",0,222.1957,0
"400","6am",0,555.4894,0
"425","6am",0,611.0383,0
"450","6am",0,416.617,0
"500","6am",208.3085,1513.7085,0
"560","6am",0,347.1809,0
"600","6am",652.7,1402.6107,0
"625","6am",305.5192,2888.5447,0
"650","6am",0,319.4064,0
"700","6am",0,666.5872,0
"750","6am",0,194.4213,0
"800","6am",0,1985.8745,0
"820","6am",0,944.3319,0
"840","6am",0,361.0681,0
"845","6am",0,333.2936,0
"001","7am",9651.6278,8846.1682,1305.4
"050","7am",4263.3809,6221.481,666.5872
"100","7am",930.4447,4874.4192,0
"120","7am",791.5724,3041.3043,0
"140","7am",2596.9128,10554.2981,236.083
"180","7am",305.5192,3374.5979,0
"200","7am",2499.7022,7887.9491,291.6319
"240","7am",1763.6788,5068.8405,249.9702
"260","7am",763.7979,5874.3001,0
"300","7am",499.9404,1555.3702,0
"350","7am",0,208.3085,0
"360","7am",0,430.5043,0
