"district","hour","act1","act2","act3","act4","act5"
"103","10am",0,2499.8096,1384.281,1221.784,706.8368
"104","10am",0,1393.8568,1415.282,0,0
"105","10am",0,1090.964,0,0,0
"106","10am",0,2401.6585,0,0,0
"107","10am",0,3016.1541,0,0,0
"108","10am",0,2315.858,0,1030.025,648.9096
"109","10am",0,0,0,0,0
"110","10am",0,1159.9465,0,0,0
"111","10am",0,1152.5587,0,0,0
"112","10am",0,1181.9243,0,0,0
"113","10am",0,765.8667,0,0,0
"114","10am",0,1281.527,0,0,0
"115","10am",0,0,0,0,0
"116","10am",0,0,0,0,0
"117","10am",0,1332.7752,0,0,0
"118","10am",0,808.4965,0,0,0
"119","10am",0,1092.147,0,0,0
"120","10am",0,0,0,0,0
"121","10am",0,0,0,0,0
"122","10am",0,0,0,0,0
"123","10am",0,1617.953,0,0,0
"124","10am",0,0,0,0,0
"125","10am",0,0,0,0,0
"126","10am",0,1432.7843,0,0,0
"127","10am",0,0,0,0,0
"128","10am",0,0,0,0,0
"129","10am",0,1061.979,0,0,0
"130","10am",0,0,0,0,0
"101","11am",0,2541.4728,0,0,0
"102","11am",0,3225.2543,1095.336,0,1067.2323
"103","11am",0,2465.6331,1021.796,898.8677,0
"104","11am",0,1310.3111,1269.708,0,0
"105","11am",0,945.8398,0,0,0
"106","11am",0,2191.6663,0,0,0
"107","11am",0,2835.0885,0,0,0
"108","11am",0,1796.5853,0,995.0986,779.5331
"109","11am",0,0,0,0,0
"110","11am",0,1042.9529,0,0,0
"111","11am",0,821.3885,0,0,0
"112","11am",0,1083.4671,0,0,0
"113","11am",0,877.4286,0,0,0
"114","11am",0,1337.9992,0,0,0
"115","11am",0,0,0,0,0
"116","11am",0,0,0,0,0
"117","11am",0,862.5625,0,0,0
"118","11am",0,876.8633,0,0,0
"119","11am",0,1129.9646,0,0,0
"120","11am",0,0,0,0,0
"121","11am",0,0,0,0,0
"122","11am",0,0,0,0,0
"123","11am",0,1617.953,0,0,0
"124","11am",0,0,0,0,0
"125","11am",0,0,0,0,0
"126","11am",0,1121.1517,0,0,0
"127","11am",0,0,0,0,0
"128","11am",0,0,0,0,0
"129","11am",0,1061.979,0,0,0
"130","11am",0,0,0,0,0
"101","12am",0,1451.8996,0,0,760.1017
"102","12am",0,1907.9979,899.3047,0,1478.0577
"103","12am",0,1822.1121,0,0,795.8914
"104","12am",0,1061.3531,1211.682,0,0
"105","12am",0,0,0,0,0
"106","12am",0,1765.8088,0,0,641.54
"107","12am",0,2158.5118,0,0,0
"108","12am",0,1161.1054,0,0,1194.5958
"109","12am",0,0,0,0,0
"110","12am",0,0,0,0,0
"111","12am",0,0,0,0,0
"112","12am",0,0,0,0,0
"113","12am",0,0,0,0,0
"114","12am",0,745.0597,0,0,0
"115","12am",0,0,0,0,0
"116","12am",0,0,0,0,0
"117","12am",0,0,0,0,0
"118","12am",0,0,0,0,0
"119","12am",0,0,0,0,0
"120","12am",0,0,0,0,0
"121","12am",0,0,0,0,0
"122","12am",0,0,0,0,0
"123","12am",0,1053.1044,0,0,0
"124","12am",0,0,0,0,0
"125","12am",0,0,0,0,0
