"district","hour","resarea1","resarea2","resarea3"
"101","4am",183.94881,0,5323.38132
"102","4am",150.38394,0,9169.4785
"103","4am",39.71154,0,7459.10948
"104","4am",27.0644,0,6887.14546
"105","4am",98.26233,0,6309.31304
"106","4am",0,0,5587.83321
"107","4am",48.75497,0,3674.91103
"108","4am",217.15697,0,9962.42907
"109","4am",5739.92199,0,0
"110","4am",6086.85532,0,46.89392
"111","4am",7917.90869,0,0
"112","4am",9221.99188,0,0
"113","4am",6851.24366,0,60.00669
"114","4am",6235.0909,0,190.6187
"115","4am",0,6326.61765,0
"116","4am",7626.34977,0,0
"117","4am",100.8932,6714.23618,0
"118","4am",0,5654.20132,0
"119","4am",0,7095.06126,0
"120","4am",6532.8737,0,0
"121","4am",13911.75257,0,0
"122","4am",6065.95438,0,0
"123","4am",0,8293.97566,0
"124","4am",8178.13213,0,28.14997
"125","4am",5063.56001,0,0
"126","4am",10352.83551,0,54.53253
"127","4am",11155.30937,0,0
"128","4am",8200.60625,58.45952,0
"129","4am",71.67911,9671.11461,0
"130","4am",5841.4432,99.45702,0
"101","5am",224.92285,36.33249,5402.90584
"102","5am",150.38394,0,9244.66405
"103","5am",155.24415,0,7317.77131
"104","5am",79.28359,0,6781.97471
"105","5am",98.26233,0,6042.99082
"106","5am",110.35771,0,5555.38132
"107","5am",283.96993,149.74782,3848.50392
"108","5am",225.7569,0,9830.30131
"109","5am",5697.36529,0,0
"110","5am",5885.87521,0,46.89392
"111","5am",8068.02178,60.64226,47.73616
"112","5am",9196.34862,0,52.5263
"113","5am",6822.7389,0,60.00669
"114","5am",6213.98662,0,156.5462
"115","5am",0,6273.7808,0
"116","5am",7545.71754,0,0
"117","5am",100.8932,6739.76265,0
"118","5am",0,5531.7001,0
"119","5am",0,7232.63126,0
"120","5am",6389.28461,0,0
"121","5am",13840.66218,0,0
"122","5am",5954.61362,0,0
"123","5am",111.34076,8156.40566,28.71488
"124","5am",7926.06335,0,28.14997
"125","5am",5009.86808,0,0
"126","5am",10461.95677,0,54.53253
"127","5am",10798.80949,0,0
"128","5am",8160.89471,58.45952,0
"129","5am",39.71154,9492.92102,0
"130","5am",5576.57035,99.45702,0
"101","6am",261.7303,36.33249,5285.13979
"102","6am",279.52036,0,8735.51925
"103","6am",322.16527,119.5043,6705.05526
"104","6am",242.84549,0,6640.09177
"105","6am",192.10261,0,5934.7685
"106","6am",156.03735,172.34115,5424.00811
"107","6am",323.30661,96.91097,3950.8508
"108","6am",283.41994,87.01334,9018.10916
"109","6am",5533.54556,0,0
"110","6am",5925.72314,30.8541,46.89392
"111","6am",7878.69585,60.64226,236.50787
"112","6am",8905.82101,0,204.69409
"113","6am",6644.18272,0,60.00669
"114","6am",5987.59309,0,203.40811
"115","6am",50.52676,5669.33355,0
"116","6am",7344.00339,0,0
"117","6am",279.8022,6426.9947,75.13972
"118","6am",98.45723,5436.36475,0
"119","6am",67.26213,7202.83895,0
"120","6am",6113.03497,108.69245,0
"121","6am",13286.7131,0,74.83966
"122","6am",5661.4362,0,0
"123","6am",161.354,8206.83418,71.93951
"124","6am",7603.0211,33.95094,28.14997
"125","6am",4786.52357,0,0
"126","6am",10199.23729,0,222.39843
"127","6am",10421.138,0,0
"128","6am",7911.8175,58.45952,0
"129","6am",267.83377,9353.51125,53.76197
"130","6am",5466.89309,172.14025,0
"101","7am",851.4146,156.39522,5369.00941
"102","7am",1355.8916,122.60652,9281.5084
