"district","hour","act1","act2","act3","act4","act5"
"101","4am",96.65993,0,0,0,3.3400723
"102","4am",98.38641,1.1993521,0,0,0.4142333
"103","4am",98.36887,1.1015569,0,0,0.5295704
"104","4am",99.60857,0.3914316,0,0,0
"105","4am",98.46647,1.5335337,0,0,0
"106","4am",98.52289,1.4771103,0,0,0
"107","4am",96.63296,3.3670415,0,0,0
"108","4am",97.52192,2.4780842,0,0,0
"109","4am",100,0,0,0,0
"110","4am",99.23548,0,0,0,0.7645229
"111","4am",99.19883,0.8011703,0,0,0
"112","4am",100,0,0,0,0
"113","4am",98.63393,0.5078928,0,0,0.3603538
"114","4am",96.31474,3.6852604,0,0,0
"115","4am",100,0,0,0,0
"116","4am",100,0,0,0,0
"117","4am",98.51957,1.4804297,0,0,0
"118","4am",99.31253,0.6874707,0,0,0
"119","4am",98.52781,1.0202068,0,0,0.4519869
"120","4am",100,0,0,0,0
"121","4am",100,0,0,0,0
"122","4am",100,0,0,0,0
"123","4am",100,0,0,0,0
"124","4am",99.65697,0.3430295,0,0,0
"125","4am",100,0,0,0,0
"126","4am",100,0,0,0,0
"127","4am",100,0,0,0,0
"128","4am",98.39366,1.1203393,0,0,0.4860056
"129","4am",99.26429,0.7357141,0,0,0
"130","4am",98.32589,1.6741069,0,0,0
"101","5am",91.64313,5.7414579,0,0,2.6154093
"102","5am",96.79075,2.7983275,0,0,0.4109183
"103","5am",95.79631,3.6722943,0,0,0.5313991
"104","5am",98.84447,1.1555255,0,0,0
"105","5am",98.39996,1.6000371,0,0,0
"106","5am",96.32563,3.674374,0,0,0
"107","5am",81.39055,18.6094463,0,0,0
"108","5am",96.89473,3.1052666,0,0,0
"109","5am",99.14129,0.8587087,0,0,0
"110","5am",98.18127,0,0,1.028307,0.7904221
"111","5am",97.85742,2.1425769,0,0,0
"112","5am",98.88578,1.1142227,0,0,0
"113","5am",97.90961,1.22866,0,0,0.3618462
"114","5am",95.63684,4.3631633,0,0,0
"115","5am",100,0,0,0,0
"116","5am",99.3372,0.662803,0,0,0
"117","5am",97.68314,1.9437018,0,0,0
"118","5am",99.29731,0.702695,0,0,0
"119","5am",96.65373,2.9028758,0,0,0.4433898
"120","5am",100,0,0,0,0
"121","5am",98.94516,1.0548419,0,0,0
"122","5am",100,0,0,0,0
"123","5am",95.74222,4.2577772,0,0,0
"124","5am",99.6461,0.3539001,0,0,0
"125","5am",100,0,0,0,0
"126","5am",96.3457,3.6542955,0,0,0
"127","5am",99.51295,0.4870532,0,0,0
"128","5am",96.38159,2.6469056,0,0,0.9715004
"129","5am",99.58341,0.4165852,0,0,0
"130","5am",97.7224,1.7522294,0,0,0
"101","6am",88.53888,8.8077852,0,0,2.6533338
"102","6am",95.22302,4.0405855,0.3081545,0,0.4282396
"103","6am",90.99178,8.4525595,0,0,0.5556607
"104","6am",95.79093,3.5282247,0,0,0.6808417
