"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.2621,0.1737,0.1011,0.2825
"5am",0.2595,0.1763,0.1,0.2823
"6am",0.2578,0.1768,0.0967,0.2838
"7am",0.2591,0.178,0.108,0.2813
"8am",0.2616,0.1882,0.1136,0.285
"9am",0.2743,0.193,0.1014,0.2891
"10am",0.2711,0.189,0.1001,0.2856
"11am",0.2635,0.1998,0.1048,0.3002
"12am",0.2673,0.1979,0.109,0.3023
"1pm",0.278,0.2001,0.1101,0.2949
"2pm",0.2696,0.204,0.1048,0.2861
"3pm",0.2668,0.2076,0.1073,0.2856
"4pm",0.2633,0.21,0.1074,0.294
"5pm",0.2635,0.2025,0.1084,0.3024
"6pm",0.2526,0.1807,0.1019,0.294
"7pm",0.2577,0.1781,0.1017,0.287
"8pm",0.2626,0.178,0.1055,0.2884
"9pm",0.2623,0.1806,0.1071,0.2886
"10pm",0.2627,0.1787,0.1037,0.2851
"11pm",0.2631,0.179,0.1007,0.2866
"12pm",0.2627,0.1785,0.1008,0.2849
"1am",0.2619,0.178,0.0993,0.2858
"2am",0.2614,0.1774,0.0987,0.2858
"3am",0.2612,0.1776,0.1005,0.2858
