"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.2035,0.2238,0.1436,0.1377,0.2827
"5am",0.2035,0.2191,0.1463,0.1382,0.2825
"6am",0.1978,0.2144,0.1446,0.1435,0.2889
"7am",0.1957,0.2152,0.138,0.1344,0.2838
"8am",0.2068,0.2221,0.1387,0.125,0.2986
"9am",0.2127,0.2182,0.1398,0.1272,0.3113
"10am",0.2134,0.2309,0.1399,0.1287,0.3058
"11am",0.2072,0.2298,0.1444,0.1265,0.3093
"12am",0.2118,0.2335,0.1312,0.1337,0.317
"1pm",0.2172,0.226,0.1404,0.1351,0.32
"2pm",0.2129,0.2255,0.1347,0.1281,0.3134
"3pm",0.2185,0.2225,0.137,0.1255,0.3114
"4pm",0.2107,0.2374,0.1431,0.1348,0.3138
"5pm",0.2053,0.2433,0.1402,0.134,0.3135
"6pm",0.2037,0.228,0.1353,0.1401,0.2866
"7pm",0.1906,0.2244,0.1431,0.1347,0.2782
"8pm",0.1889,0.2264,0.1385,0.1354,0.2883
"9pm",0.1935,0.2275,0.1443,0.1388,0.2863
"10pm",0.1993,0.227,0.1474,0.1431,0.2874
"11pm",0.2048,0.2296,0.1459,0.1405,0.2874
"12pm",0.2047,0.2285,0.1466,0.1401,0.2856
"1am",0.2044,0.2296,0.1466,0.1398,0.2869
"2am",0.2045,0.2296,0.1467,0.1391,0.2866
"3am",0.2042,0.2292,0.146,0.1388,0.286
