"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.1928,0.2348,0.139,0.1844,0.361
"5am",0.1928,0.2323,0.1389,0.1814,0.3621
"6am",0.1856,0.2274,0.1365,0.1766,0.365
"7am",0.1802,0.2197,0.1306,0.1653,0.3455
"8am",0.1715,0.2161,0.1178,0.1423,0.3586
"9am",0.168,0.214,0.1147,0.1414,0.3688
"10am",0.1666,0.2249,0.1173,0.1455,0.357
"11am",0.1713,0.2259,0.122,0.1416,0.3681
"12am",0.1825,0.2343,0.1313,0.1432,0.3864
"1pm",0.1917,0.2223,0.1237,0.1391,0.3752
"2pm",0.1848,0.2193,0.1173,0.15,0.366
"3pm",0.1823,0.2158,0.1221,0.1415,0.3566
"4pm",0.1953,0.225,0.1174,0.1516,0.372
"5pm",0.192,0.2364,0.1269,0.1645,0.3837
"6pm",0.1954,0.2308,0.1357,0.1726,0.3515
"7pm",0.1889,0.2331,0.1424,0.1837,0.3568
"8pm",0.1817,0.236,0.1418,0.1805,0.3711
"9pm",0.1868,0.2371,0.1423,0.187,0.366
"10pm",0.193,0.2341,0.1441,0.1913,0.36
"11pm",0.1962,0.2394,0.1433,0.1873,0.3595
"12pm",0.1963,0.2373,0.1446,0.186,0.3585
"1am",0.1961,0.2383,0.1441,0.186,0.3608
"2am",0.1965,0.2394,0.1428,0.1859,0.3621
"3am",0.1962,0.2392,0.1429,0.186,0.3614
