"hour","act1","act2","act3","act4","act5"
"4am",0.3527,0.4518,0.8797,0.5058,0
"5am",0.3007,0.3614,0.8791,0.5253,0
"6am",0.2298,0.2542,0.7801,0.8433,0.4407
"7am",0.2433,0.2088,0.5528,0.7505,0.3991
"8am",0.2703,0.2241,0.508,0.4153,0.253
"9am",0.2902,0.2254,0.4964,0.4059,0.2238
"10am",0.2986,0.2211,0.4993,0.4097,0.204
"11am",0.3066,0.2269,0.4929,0.4976,0.2076
"12am",0.3458,0.2595,0.5046,0.6434,0.2618
"1pm",0.3183,0.2338,0.5006,0.5636,0.2293
"2pm",0.2994,0.2279,0.5035,0.4974,0.1877
"3pm",0.2962,0.2329,0.514,0.5115,0.1923
"4pm",0.2903,0.2383,0.5248,0.5037,0.1831
"5pm",0.2971,0.2712,0.6288,0.4766,0.202
"6pm",0.2832,0.2745,0.7579,0.6155,0.2156
"7pm",0.2874,0.3076,0.7666,0.7744,0.264
"8pm",0.2723,0.3681,0.81,0.9273,0.2681
"9pm",0.2973,0.4564,0.8474,0.9367,0.2809
"10pm",0.3458,0.4735,0.9357,0.9663,0.3548
"11pm",0.3885,0.5449,0.9674,0.9689,0.4163
"12pm",0.4167,0.5837,0.9672,0.9694,0.4737
"1am",0.4339,0.6241,0.9673,0.9836,0.4922
"2am",0.4355,0.6326,0.9808,0.5173,0
"3am",0.4142,0.6186,0.9808,0.5091,0
