"hour","mode1","mode2","mode3"
"4am",0.3447,0.3478,0.2829
"5am",0.3425,0.346,0.283
"6am",0.3743,0.3444,0.2732
"7am",0.4122,0.3414,0.2373
"8am",0.3938,0.3223,0.2199
"9am",0.3939,0.3154,0.2168
"10am",0.3974,0.3208,0.2232
"11am",0.3941,0.3231,0.2221
"12am",0.3689,0.3414,0.2495
"1pm",0.3728,0.336,0.2351
"2pm",0.3789,0.3274,0.2291
"3pm",0.3825,0.3217,0.2291
"4pm",0.3763,0.33,0.2323
"5pm",0.3601,0.3362,0.2564
"6pm",0.3353,0.3317,0.2619
"7pm",0.3405,0.3391,0.2748
"8pm",0.3416,0.3419,0.2732
"9pm",0.341,0.3442,0.2731
"10pm",0.3402,0.3457,0.2786
"11pm",0.3433,0.3514,0.2842
"12pm",0.3451,0.3525,0.2856
"1am",0.3456,0.353,0.2855
"2am",0.3448,0.3517,0.2852
"3am",0.3447,0.3516,0.2851
