"hour","resarea1","resarea2","resarea3"
"4am",0.9804,0.9821,0.9861
"5am",0.9784,0.9774,0.9834
"6am",0.9549,0.9489,0.9648
"7am",0.8549,0.8242,0.8527
"8am",0.7576,0.6797,0.7221
"9am",0.7182,0.6202,0.6698
"10am",0.7019,0.5992,0.6498
"11am",0.7217,0.622,0.6568
"12am",0.7395,0.6607,0.6898
"1pm",0.7155,0.6185,0.6618
"2pm",0.6966,0.5898,0.6436
"3pm",0.7097,0.6032,0.6421
"4pm",0.7663,0.6695,0.6989
"5pm",0.8511,0.7797,0.7866
"6pm",0.9212,0.8772,0.8744
"7pm",0.9457,0.9203,0.9209
"8pm",0.9559,0.9332,0.9304
"9pm",0.9653,0.9485,0.9484
"10pm",0.9757,0.9666,0.9642
"11pm",0.9874,0.9778,0.9749
"12pm",0.9888,0.9838,0.9811
"1am",0.9896,0.9862,0.9842
"2am",0.9905,0.9872,0.9854
"3am",0.9905,0.9876,0.9859
