"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.303028907348023,0.342329034266874,0.0909765358450153,0.478785096098069
"5am",0.29779128279684,0.33623918964547,0.0963653820647393,0.468797763232109
"6am",0.283071927891432,0.335333954961584,0.0780061423473708,0.456167510507726
"7am",0.297282271566517,0.334870833771736,0.0534344461405657,0.433611782962136
"8am",0.285233980484031,0.341133006197578,0.118973396101799,0.436755124480213
"9am",0.28405341695903,0.289552069790738,0.129293807008648,0.424438319044827
"10am",0.273325755846413,0.31353216688431,0.181441246615244,0.407139861188903
"11am",0.267659418807148,0.294053139363682,0.179008639206788,0.407008670588967
"12am",0.270967350029587,0.321280060398741,0.136820857236263,0.422416305194473
"1pm",0.259653484539267,0.300066849391632,0.0847644261117893,0.411905679435846
"2pm",0.302909633394592,0.319330558415881,0.124474933641696,0.448403198145535
"3pm",0.27383538354377,0.33118125097679,0.115836481061493,0.469083487071616
"4pm",0.286835970223743,0.319345638982373,0.0474013101404776,0.446711446166981
"5pm",0.292591729673823,0.318169596573051,0.00125096730929698,0.469473559630509
"6pm",0.297721345802911,0.379529704808001,0.0236159653065805,0.478434338291257
"7pm",0.30449382932792,0.361789692894729,0.0181641022315941,0.497380057617305
"8pm",0.30686302805636,0.36877159559149,0.0440262119454809,0.514293512759048
"9pm",0.296122097698471,0.361775131476347,0.0387337730949291,0.510154553743113
"10pm",0.30972260457944,0.371859845191684,0.0699431586875504,0.507388307299673
"11pm",0.309343222744966,0.364187171919506,0.0661843270948473,0.494471214419566
"12pm",0.308413905857912,0.36383913833817,0.0733781890804041,0.48707690214866
"1am",0.306834344126285,0.363772308944005,0.0816773596521142,0.487623197496237
"2am",0.305182929975616,0.36365213386989,0.0809509343679284,0.484359126888107
"3am",0.305149232487945,0.362525347580687,0.0854258333362534,0.484411473548654
