"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.1077,0.2619,0.2469,0.1344,0.2031
"5am",0.1084,0.2617,0.2472,0.1346,0.2038
"6am",0.1074,0.2777,0.2436,0.1409,0.2049
"7am",0.1201,0.3819,0.2374,0.1631,0.2228
"8am",0.1508,0.3818,0.2388,0.2011,0.2339
"9am",0.156,0.3897,0.2628,0.2044,0.2383
"10am",0.1543,0.3964,0.2641,0.2102,0.2439
"11am",0.1592,0.387,0.2519,0.2194,0.2475
"12am",0.153,0.3678,0.2475,0.2132,0.2406
"1pm",0.1644,0.3628,0.2629,0.2174,0.2483
"2pm",0.155,0.3604,0.2664,0.2079,0.2372
"3pm",0.1549,0.3543,0.2806,0.1986,0.2394
"4pm",0.1355,0.3278,0.2586,0.1836,0.2352
"5pm",0.1071,0.2709,0.2484,0.1515,0.2058
"6pm",0.1006,0.2762,0.2401,0.1444,0.2077
"7pm",0.0992,0.2619,0.2313,0.1379,0.2056
"8pm",0.0996,0.267,0.2425,0.1342,0.1971
"9pm",0.1058,0.2672,0.2442,0.1335,0.1993
"10pm",0.1094,0.2675,0.246,0.1347,0.2036
"11pm",0.1133,0.2675,0.2465,0.137,0.2031
"12pm",0.1111,0.2611,0.2507,0.1349,0.2022
"1am",0.1112,0.2617,0.2514,0.1336,0.2032
"2am",0.1109,0.2615,0.2478,0.1327,0.203
"3am",0.111,0.262,0.2479,0.1331,0.2027
