"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.2704,0.1892,0.1619,0.3356
"5am",0.2699,0.1898,0.1608,0.3357
"6am",0.2678,0.181,0.1558,0.3347
"7am",0.2702,0.1765,0.1504,0.3234
"8am",0.2683,0.1843,0.1645,0.3151
"9am",0.2662,0.1898,0.1519,0.319
"10am",0.2709,0.1904,0.1532,0.3083
"11am",0.2789,0.192,0.1574,0.3271
"12am",0.2773,0.1932,0.1654,0.333
"1pm",0.2743,0.1881,0.1679,0.3241
"2pm",0.2731,0.1961,0.161,0.3175
"3pm",0.2657,0.1971,0.1673,0.3192
"4pm",0.272,0.2043,0.169,0.3321
"5pm",0.2723,0.2005,0.1671,0.3415
"6pm",0.2623,0.189,0.1635,0.3364
"7pm",0.2633,0.1886,0.1641,0.335
"8pm",0.2679,0.1929,0.1708,0.3415
"9pm",0.2681,0.1933,0.1692,0.3374
"10pm",0.2712,0.1916,0.169,0.333
"11pm",0.2725,0.1927,0.1652,0.3355
"12pm",0.2722,0.1919,0.1618,0.3359
"1am",0.2721,0.1922,0.1603,0.337
"2am",0.2716,0.1922,0.1593,0.3383
"3am",0.2715,0.1919,0.1607,0.3386
