"hour","sex1","sex2"
"4am",0.0529,0.0529
"5am",0.0532,0.0532
"6am",0.0607,0.0607
"7am",0.0767,0.0767
"8am",0.1,0.1
"9am",0.1003,0.1003
"10am",0.1064,0.1064
"11am",0.1052,0.1052
"12am",0.0978,0.0978
"1pm",0.1073,0.1073
"2pm",0.1061,0.1061
"3pm",0.1088,0.1088
"4pm",0.0995,0.0995
"5pm",0.0798,0.0798
"6pm",0.0735,0.0735
"7pm",0.0637,0.0637
"8pm",0.0594,0.0594
"9pm",0.0558,0.0558
"10pm",0.055,0.055
"11pm",0.0551,0.0551
"12pm",0.0561,0.0561
"1am",0.0562,0.0562
"2am",0.0559,0.0559
"3am",0.0558,0.0558
