"hour","age1","age2","age3","age4"
"4am",0.213,0.1903,0.1644,0.1395
"5am",0.2123,0.1919,0.163,0.14
"6am",0.2189,0.195,0.1597,0.1391
"7am",0.2813,0.1772,0.1559,0.157
"8am",0.2804,0.1679,0.1389,0.1925
"9am",0.2874,0.1647,0.134,0.1887
"10am",0.2891,0.1587,0.1318,0.1857
"11am",0.2901,0.1476,0.1312,0.2051
"12am",0.2829,0.1558,0.1321,0.2043
"1pm",0.2748,0.1512,0.1318,0.2048
"2pm",0.2744,0.1517,0.1331,0.1885
"3pm",0.2684,0.16,0.1311,0.1787
"4pm",0.2588,0.1683,0.1305,0.1718
"5pm",0.2213,0.1687,0.1358,0.1549
"6pm",0.2266,0.1832,0.1473,0.146
"7pm",0.2139,0.1836,0.1534,0.1405
"8pm",0.2171,0.1916,0.156,0.1391
"9pm",0.2187,0.1931,0.1582,0.1423
"10pm",0.2203,0.1931,0.1619,0.1437
"11pm",0.2195,0.1934,0.1651,0.1448
"12pm",0.2148,0.1974,0.1656,0.1418
"1am",0.2135,0.1967,0.1655,0.1403
"2am",0.2135,0.1944,0.1655,0.1394
"3am",0.2133,0.1951,0.1653,0.1394
