"hour","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","021","022","023","024","025","026","027","028","029","030","031","032","033","034","035","036","037","038","039","041","042","043","044","045","046","047","048","049","050","051","052","053","054","055","056","057","058","059","060","062","064","066","067","068"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836,16985.1836
"4am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1416.8062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5am",0,0,0,0,0,0,922.5985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2454.4576,0,0,820.6054,0,0,0,0,0,0,0,897.1381,0,0,0,0,0,0,1339.736,0,0,0,0,0,1971.0312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6am",0,0,0,1315.9641,0,745.1654,1707.8928,0,914.9352,1317.7465,952.8997,0,0,0,0,0,1219.9886,0,0,0,0,0,0,0,3223.3105,0,0,1927.5368,0,1369.714,819.0363,0,0,0,973.2316,2532.0272,830.5199,0,0,719.3046,0,0,2069.5289,0,0,0,0,0,2755.0004,1695.65,0,0,0,0,0,0,0,0,0,1405.1901,0,0,0,0
"7am",1626.5064,1505.1871,0,2573.8148,1604.6377,2333.0604,2967.084,1620.4126,1729.3199,3220.7739,3614.8433,2095.1972,1294.8845,1385.9338,0,1353.5236,2865.9136,2618.7607,4134.6973,1448.1628,1203.294,1004.9044,1175.6433,1448.5352,7398.3949,1423.1373,1902.2709,6595.5479,1102.5771,4096.2526,7034.4743,3632.896,3486.118,1579.0565,2107.0201,8356.6193,3287.8953,0,1152.7783,2676.0917,0,0,4274.2123,0,0,0,1143.5235,717.9607,9776.5697,2737.2038,1335.4815,1833.0594,0,0,2944.6103,1833.5352,2122.18,874.7061,0,3876.3234,0,0,0,0
"8am",2540.319,1853.0599,0,2748.8361,2826.18,2855.7961,4940.5739,2324.1566,4123.803,4650.9442,7870.3014,3319.8039,2153.0283,1818.8674,1018.7061,2141.8383,5208.7637,4280.5762,6953.807,3346.8174,2800.6778,1996.4838,1685.0482,3429.6987,10319.6328,2425.6501,2688.7699,9463.6719,1250.1235,7405.897,14527.1209,7416.0534,7447.1467,2763.9324,3770.7084,12232.441,8412.9209,907.7587,2213.6772,3958.6441,1330.8535,1138.5179,6265.8503,892.682,0,0,1547.8897,985.387,14108.4264,3712.435,1840.2668,3790.2931,2696.2857,1232.1583,4753.3189,2972.3073,2566.1042,1204.539,1817.21,6899.8123,1120.0572,0,1600.5946,771.8007
"9am",2541.6046,2223.2705,0,2715.8495,3029.4698,3140.9669,5831.0828,2564.1455,4507.2633,5913.0331,9767.6194,3580.1478,2473.1317,2034.9987,973.0652,2297.456,6035.7539,4469.6909,7804.6654,3877.5533,2923.3481,2025.021,1821.4855,4121.4061,11732.5191,2382.7772,3369.6354,10832.6223,1370.2605,8772.6395,16661.3472,9112.4972,8514.745,2936.254,3893.6865,13205.2281,12016.0053,970.3971,2378.6377,5250.2275,1330.8487,1090.3561,7265.8876,1189.2438,0,870.1387,1639.4163,980.4368,14915.1514,2888.8016,1954.7571,4118.0003,3377.7483,1722.8742,5212.9085,3138.4012,2695.1897,1320.6761,2158.2148,7620.8041,1295.6888,0,1619.6533,891.0477
"10am",2326.4154,2339.8333,881.2315,2864.8919,3998.0598,2988.2449,6368.8621,2742.8826,4577.9426,4858.8626,10021.1819,4016.4839,2342.8679,2159.2747,1122.224,2258.5817,7062.9635,5108.3683,7684.5358,4133.2972,3032.1524,2191.949,2021.5373,4022.9885,11989.8407,2561.2735,3441.8066,10766.2366,1452.1791,8542.4609,16764.3577,8806.7088,8705.3831,2921.1707,4146.3993,13454.6901,13324.7914,1690.9811,2388.4087,4813.5608,1561.7268,1585.3096,6880.8904,1165.4507,0,1115.7879,1795.9208,1113.1111,15351.6023,2717.5443,2371.996,4225.84,4698.8262,1575.6973,6044.9803,2985.8429,3564.9386,1227.9792,2296.2965,7725.3126,1118.9256,1678.2981,1491.6617,941.9157
