"hour";"001";"050";"100";"120";"140";"180";"200";"240";"260";"300";"350";"360";"400";"425";"450";"500";"560";"600";"625";"650";"700";"750";"800";"820";"840";"845"
"4pm";" 5013.292";"11845.811";" 6707.534";" 5541.006";"11359.758";" 6610.324";"10165.456";" 6249.255";"10554.298";"13317.858";" 2638.575";" 2805.221";" 1971.987";" 7249.136";" 3569.019";"12554.060";" 3263.500";" 2416.379";" 8151.807";" 1749.792";" 4624.449";" 3180.177";" 9082.251";" 5860.413";" 3791.215";" 2666.349"
"5pm";" 3569.019";"11415.307";" 6818.632";" 5457.683";"10748.719";" 6665.872";" 9776.613";" 6124.270";"10290.441";"14109.430";" 2791.334";" 3041.304";" 2041.423";" 8026.821";" 3652.343";"13081.775";" 3499.583";" 1833.115";" 7832.400";" 1763.679";" 4777.209";" 3360.711";" 9193.349";" 6193.706";" 3957.862";" 2680.236"
"6pm";" 3166.289";"11248.660";" 6915.843";" 5360.472";"10623.734";" 6818.632";" 9971.034";" 5915.962";"10304.328";"14331.626";" 2985.755";" 2944.094";" 2027.536";" 8374.002";" 3805.102";"13317.858";" 3610.681";" 1652.581";" 7707.415";" 1819.228";" 4777.209";" 3360.711";" 9304.447";" 6318.692";" 4068.960";" 2652.462"
"7pm";" 3069.079";"11193.111";" 7082.489";" 5249.375";"10470.975";" 6763.083";"10040.470";" 5735.428";"10137.681";"14539.934";" 3055.192";" 3013.530";" 2096.972";" 8457.326";" 3805.102";"13290.083";" 3805.102";" 1610.919";" 7693.528";" 1777.566";" 4888.306";" 3430.147";" 9165.575";" 6471.451";" 4138.396";" 2708.011"
"8pm";" 2874.658";"10818.156";" 6929.730";" 5360.472";"10332.102";" 6943.617";" 9873.824";" 5832.638";"10054.358";"14678.807";" 3152.402";" 3166.289";" 2166.409";" 8665.634";" 3860.651";"13526.166";" 3888.426";" 1541.483";" 7582.430";" 1888.664";" 5027.179";" 3624.568";" 8971.153";" 6693.647";" 4360.592";" 2749.672"
"9pm";" 2430.266";"10707.058";" 6915.843";" 5374.360";"10193.230";" 7193.587";" 9762.726";" 5846.526";"10082.132";"14845.453";" 3194.064";" 3207.951";" 2194.183";" 8818.394";" 3832.877";"13637.264";" 3846.764";" 1555.370";" 7554.655";" 1874.777";" 5152.164";" 3721.779";" 9123.913";" 6790.858";" 4527.238";" 2860.770"
"10pm";" 2138.634";"10415.426";" 6971.392";" 5457.683";"10276.553";" 7249.136";" 9721.064";" 5915.962";"10151.568";"15025.988";" 3249.613";" 3221.838";" 2333.055";" 8985.041";" 3971.749";"13484.505";" 3943.975";" 1458.160";" 7568.543";" 2027.536";" 5318.811";" 3832.877";" 9304.447";" 7026.941";" 4763.321";" 2916.319"
"11pm";" 2013.649";"10457.087";" 6943.617";" 5485.458";"10304.328";" 7235.249";" 9804.387";" 6040.947";"10276.553";"15206.522";" 3305.162";" 3305.162";" 2291.394";" 9165.575";" 3985.636";"13637.264";" 3957.862";" 1416.498";" 7693.528";" 2110.860";" 5499.345";" 3874.538";" 9707.177";" 7165.813";" 4971.630";" 2985.755"
"12pm";" 1985.875";"10484.862";" 6888.068";" 5485.458";"10373.764";" 7165.813";" 9790.500";" 6068.721";"10262.666";"15206.522";" 3291.275";" 3305.162";" 2291.394";" 9193.349";" 3985.636";"13609.490";" 3957.862";" 1444.272";" 7665.753";" 2110.860";" 5527.119";" 3860.651";" 9679.402";" 7207.475";" 4999.404";" 2971.868"
"1am";" 1971.987";"10498.749";" 6860.294";" 5541.006";"10332.102";" 7151.926";" 9762.726";" 6138.158";"10276.553";"15206.522";" 3291.275";" 3291.275";" 2291.394";" 9193.349";" 3999.523";"13609.490";" 3957.862";" 1444.272";" 7637.979";" 2110.860";" 5527.119";" 3860.651";" 9679.402";" 7207.475";" 4999.404";" 2971.868"
"2am";" 1944.213";"10443.200";" 6846.407";" 5554.894";"10345.990";" 7165.813";" 9762.726";" 6138.158";"10290.441";"15206.522";" 3291.275";" 3291.275";" 2291.394";" 9207.236";" 3999.523";"13595.602";" 3957.862";" 1444.272";" 7637.979";" 2110.860";" 5527.119";" 3860.651";" 9679.402";" 7193.587";" 4985.517";" 2971.868"
"3am";" 1902.551";"10443.200";" 6846.407";" 5527.119";"10290.441";" 7165.813";" 9762.726";" 6138.158";"10318.215";"15206.522";" 3291.275";" 3291.275";" 2291.394";" 9221.124";" 3999.523";"13609.490";" 3957.862";" 1444.272";" 7624.092";" 2110.860";" 5527.119";" 3874.538";" 9679.402";" 7193.587";" 4985.517";" 2971.868"
