"hour";"7501";"7502";"7503";"7504";"7505";"7506";"7507";"7508";"7509";"7510";"7511";"7512";"7513";"7514";"7701";"7702";"7703";"7704";"7705";"7706";"7707";"7708";"7709";"7710";"7711";"7712";"7713";"7714";"7715";"7716";"7801";"7802";"7803";"7804";"7805";"7806";"7807";"7808";"7809";"7810";"7811";"7812";"7813";"7814";"7815";"7816";"9101";"9102";"9103";"9104";"9105";"9106";"9107";"9108";"9109";"9110";"9111";"9112";"9113";"9114";"9201";"9202";"9203";"9204";"9205";"9206";"9207";"9208";"9209";"9210";"9211";"9212";"9302";"9303";"9304";"9305";"9306";"9307";"9308";"9309";"9310";"9311";"9312";"9402";"9403";"9404";"9405";"9406";"9407";"9408";"9409";"9410";"9411";"9412";"9413";"9414";"9501";"9502";"9503";"9504";"9505";"9506";"9507";"9508";"9509";"9510";"9511";"9512";"9513"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732";"69711.1003159732"
"4am";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"6183.385";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000"
"5am";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"5833.924";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"6am";"   0.000";"   0.000";"5111.294";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"5524.587";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"7am";"   0.000";"   0.000";"8959.972";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"3493.955";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"5197.495";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"5625.598";"   0.000";"3681.941";"   0.000";"5897.303";"5138.138";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"4374.626";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"4622.444";"6515.438";"   0.000";"   0.000";"   0.000";"4728.206";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"2902.046";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"8am";"11095.294";" 9908.180";"16813.749";" 8002.712";" 5943.179";" 7534.110";" 5923.450";" 3877.263";" 7970.921";" 5037.079";" 6607.495";" 6716.141";"    0.000";" 4509.208";" 5838.613";" 5036.434";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 4604.907";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 3156.560";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 3497.086";"    0.000";"    0.000";"    0.000";"    0.000";" 3608.620";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 3761.402";"    0.000";" 7310.230";"    0.000";" 5747.319";"    0.000";"10573.949";" 8641.604";" 4866.572";"    0.000";"    0.000";" 5262.339";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 8258.990";" 5224.012";"    0.000";" 3868.621";"    0.000";"    0.000";" 3919.957";"    0.000";" 7139.762";" 9227.855";"    0.000";" 6381.378";"    0.000";" 5909.739";" 5247.680";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 3951.432";" 3397.044";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000"
"9am";"16200.231";"14977.166";"23924.269";"15275.685";" 7789.775";"11043.674";"10551.833";" 5223.887";"10579.041";" 8140.602";" 9255.988";"12228.004";"12943.100";" 5479.801";" 8722.588";" 6098.437";" 4034.442";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 4802.861";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 3156.560";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 3755.743";"    0.000";"    0.000";"    0.000";" 2879.977";" 4761.827";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 2996.058";"    0.000";" 7438.651";"    0.000";" 7836.087";"    0.000";"13544.199";" 9213.817";" 7731.658";" 4476.176";"    0.000";" 5743.519";" 4177.330";" 5166.685";"    0.000";"    0.000";"    0.000";"10859.448";" 7308.987";"    0.000";" 4848.692";"    0.000";"    0.000";" 6271.343";"    0.000";"10528.150";"14637.332";" 6527.206";" 6708.076";"    0.000";" 5637.026";" 5908.291";"    0.000";"    0.000";" 5598.575";"    0.000";"    0.000";"    0.000";" 3172.651";"    0.000";" 4333.221";" 3516.048";"    0.000";"    0.000";"    0.000";"    0.000";" 5070.673";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000"
"10am";"19381.356";"18304.216";"26853.234";"15018.479";" 8074.004";"12268.473";"12887.815";" 6459.432";"13710.211";" 7695.657";" 9866.007";"13372.343";"11412.551";" 5635.609";" 9031.004";" 5804.461";" 5472.257";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 5143.402";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 3436.482";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 5010.098";"    0.000";"    0.000";"    0.000";" 3045.146";" 5207.415";"    0.000";"    0.000";"    0.000";"    0.000";" 3919.486";"    0.000";"    0.000";"    0.000";"    0.000";" 2546.691";"    0.000";" 7438.651";"    0.000";" 8670.693";"    0.000";"14768.465";"10624.470";" 8960.457";" 5092.578";"    0.000";" 6696.059";" 6005.525";" 7020.999";"    0.000";"    0.000";"    0.000";"10745.901";"10279.709";"    0.000";" 6208.358";"    0.000";"    0.000";" 7756.572";"    0.000";"10176.316";"15928.660";" 6773.624";" 7013.804";" 4559.090";" 5637.026";" 6420.112";" 3516.866";"    0.000";" 4905.093";"    0.000";"    0.000";"    0.000";" 3268.925";"    0.000";" 4753.372";" 4686.151";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 4742.937";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000"
