"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041"
"12am";"5083.7531";"3418.1545";"2603.7500";"3508.9087";"3005.4733";"2434.3482";" 989.3333";"2448.6336";"4081.3170";"3560.7209";"4099.7618";"4748.8943";"3942.5570";"1500.1569";"1927.1265";"1739.3525";"3361.4596";"3863.2601";"2001.9874";"2632.5096";"3882.0900";" 831.6536";"1576.2925";"1869.5621";"2854.1569";"2096.4677";" 998.6629";"2107.5186";"3429.8266";"1377.7452";"4267.8782";"2206.8420";"2075.1869";"1425.8875";"1508.2765";"3577.7167";"2511.7108";"2139.5573";"2191.9872";"2868.6146";"2213.0125"
"1pm";"5744.1830";"3644.6074";"2633.0914";"3655.9199";"3111.7535";"2480.1614";"1193.3990";"2070.1396";"4209.2004";"4051.0678";"3885.7519";"4985.3425";"4079.1449";"1513.4616";"2023.3834";"1830.9305";"3135.4662";"3001.7885";"1541.9647";"2497.8305";"4188.9887";" 750.6395";"1621.3510";"1950.0806";"2631.3380";"2095.2971";"1043.3217";"1999.9990";"2723.4995";"1379.0723";"4305.5544";"2132.3073";"1839.4089";"1305.7987";"1509.3236";"3631.8953";"2821.2676";"2185.2655";"2070.9153";"2740.3270";"2295.4845"
"2pm";"6272.6139";"3741.8419";"2701.2032";"3692.9077";"2993.0577";"2512.1053";" 946.8316";"2384.8461";"3536.3456";"3981.3195";"4277.8741";"4644.6974";"4688.4425";"1611.4138";"2304.1950";"1762.9180";"3055.1295";"2801.7050";"1445.2292";"2238.2933";"4182.6607";" 524.2381";"1616.7188";"2064.4920";"2611.4076";"2117.6528";" 967.8462";"2061.1349";"2856.4493";"1513.8588";"4089.9559";"2305.9083";"1814.3744";"1200.7752";"1526.7764";"2995.7641";"3473.0924";"2095.7042";"2255.4709";"2630.3893";"2328.1096"
"3pm";"6316.3724";"3376.9410";"2924.3780";"3614.2408";"2877.9968";"2519.5301";"1112.4538";"2545.2248";"3866.8528";"3720.3890";"4325.4169";"4288.8384";"4909.7005";"1589.6654";"2139.7665";"1751.3584";"3176.1281";"2858.5576";"1522.4468";"2458.3882";"4463.1484";" 546.9707";"1799.2522";"2026.1228";"2802.1174";"2271.8315";"1066.4592";"2185.7474";"2804.6094";"1435.8299";"3550.1991";"2495.5282";"1678.0541";"1507.6202";"1657.5693";"3324.9818";"3142.3354";"1862.5935";"2633.9655";"2580.1261";"2292.0024"
"4pm";"6134.2390";"3502.2113";"2576.5850";"3416.7700";"2967.3841";"2674.9859";"1020.8832";"3138.1575";"3860.6375";"3959.6075";"3814.2474";"3751.1463";"4633.0252";"1721.8287";"2179.8171";"1826.5623";"3403.8438";"3060.7522";"1796.4522";"2676.9568";"4316.9450";" 574.3515";"1719.1943";"2022.9543";"3207.9444";"2438.8180";"1196.2262";"2491.9647";"2872.3416";"1528.1210";"3526.5555";"2584.3530";"2021.1936";"1656.7151";"1654.7269";"3379.2837";"3033.9605";"1818.0766";"2517.6055";"3105.2930";"2174.0830"
"5pm";"4660.0182";"2475.7118";"2447.8279";"2293.2420";"3336.0853";"2920.8698";"1612.8297";"2734.9529";"4164.0580";"3785.2507";"3428.0993";"4621.7282";"4351.6841";"1868.1244";"2480.8967";"1839.8127";"3380.4847";"3370.9684";"1977.1226";"3852.2612";"4371.1398";" 758.5307";"1576.4332";"2667.9351";"3462.9024";"2917.5591";"1196.2362";"3219.3356";"3436.5852";"1737.9250";"3549.1823";"2527.2061";"2243.8039";"2005.7036";"1817.3502";"3775.6289";"3270.8971";"1910.4987";"2916.8064";"3784.4331";"2491.8319"
"6pm";"5127.366";"2109.730";"3026.155";"2587.171";"3538.181";"2908.296";"1534.300";"3109.386";"4660.550";"3793.836";"3057.628";"4388.296";"4060.264";"2244.309";"2532.542";"2086.106";"3544.080";"3219.814";"2148.190";"3900.107";"4156.739";"1074.953";"1570.326";"3091.323";"3730.380";"3110.420";"1790.107";"3371.121";"3456.352";"1631.673";"3830.817";"2258.484";"2833.807";"2277.581";"2319.176";"3791.492";"3222.409";"1923.387";"3430.230";"3738.438";"2906.506"
"7pm";"5083.053";"2214.702";"2914.705";"2912.146";"3399.746";"2811.830";"1724.870";"3672.177";"4349.254";"3907.946";"3348.091";"4468.195";"3661.183";"2354.142";"2571.527";"2182.723";"3658.235";"3136.499";"2433.218";"4173.919";"3850.022";"1054.283";"1573.195";"3075.089";"3945.717";"3196.065";"1680.279";"3376.709";"3529.129";"1650.192";"3432.508";"2494.773";"3006.747";"2376.205";"2417.474";"3859.983";"3452.564";"1973.474";"3413.343";"3738.438";"3402.160"
"8pm";"4902.237";"2359.385";"3292.630";"3009.767";"3352.257";"2914.618";"1781.961";"3666.094";"3927.838";"4087.850";"2778.380";"4611.183";"3501.676";"2252.520";"2477.968";"2065.182";"3765.073";"3293.263";"2451.001";"4215.776";"3941.816";"1050.358";"1573.195";"3031.683";"3956.635";"3194.260";"1806.088";"3533.636";"3510.693";"1779.458";"3124.415";"2344.837";"3053.162";"2461.915";"2559.182";"4147.670";"3204.899";"2056.842";"3204.722";"4016.877";"3624.063"
"9pm";"5085.596";"2322.759";"3378.683";"3037.684";"3422.692";"2918.313";"1853.278";"3666.094";"3957.686";"4174.917";"2787.509";"4731.969";"3344.459";"2293.902";"2486.304";"2234.750";"3841.603";"3169.640";"2499.023";"4130.368";"3710.838";"1050.358";"1628.510";"3095.497";"3956.635";"3352.180";"1740.074";"3764.569";"3445.078";"1741.096";"3201.086";"2256.589";"2943.661";"2439.584";"2484.555";"4227.927";"3127.734";"2194.301";"3170.450";"4006.245";"3658.378"
"10pm";"4805.093";"2352.638";"3240.074";"3155.896";"3535.580";"3013.863";"1838.267";"3818.229";"3822.728";"4165.815";"2911.178";"4637.356";"3321.211";"2340.404";"2453.726";"2234.750";"3787.376";"2895.634";"2641.308";"4119.399";"3779.438";"1062.019";"1646.602";"3136.364";"4068.760";"3340.519";"1740.074";"3806.423";"3477.895";"1755.128";"3237.160";"2285.929";"3009.960";"2459.077";"2538.410";"4272.050";"3061.009";"2222.339";"3250.181";"4177.565";"3658.378"
"11pm";"4527.762";"2382.274";"3355.539";"3298.516";"3535.580";"3013.863";"1758.910";"3818.229";"3822.728";"4226.192";"2873.778";"4661.335";"3321.211";"2363.136";"2419.409";"2263.266";"3766.146";"2982.610";"2656.038";"4119.399";"3861.018";"1062.019";"1646.602";"3210.955";"4068.760";"3340.519";"1763.044";"3938.034";"3510.713";"1755.128";"3351.423";"2286.803";"3054.787";"2459.077";"2538.410";"4272.050";"3101.446";"2222.339";"3118.212";"4267.642";"3611.237"
"12pm";"4527.762";"2382.274";"3254.477";"3360.631";"3535.580";"3016.471";"1684.610";"3818.229";"3822.728";"4267.827";"2873.778";"4626.103";"3321.211";"2363.136";"2419.409";"2263.266";"3766.146";"3021.557";"2656.038";"4119.399";"3861.018";"1062.019";"1646.602";"3210.955";"4068.760";"3388.278";"1793.491";"3938.034";"3510.713";"1781.934";"3415.223";"2345.950";"3054.787";"2459.077";"2565.446";"4272.050";"3136.678";"2242.594";"3167.240";"4267.642";"3611.237"
"1am";"4453.935";"2382.274";"3254.477";"3360.631";"3535.580";"3090.772";"1610.309";"3818.229";"3870.151";"4339.520";"2873.778";"4626.103";"3321.211";"2363.136";"2419.409";"2263.266";"3766.146";"3021.557";"2656.038";"4119.399";"3861.018";"1062.019";"1646.602";"3210.955";"4068.760";"3388.278";"1793.491";"3938.034";"3510.713";"1781.934";"3415.223";"2345.950";"3054.787";"2459.077";"2565.446";"4272.050";"3203.403";"2242.594";"3167.240";"4267.642";"3611.237"
"2am";"4494.075";"2382.274";"3254.477";"3360.631";"3535.580";"3090.772";"1610.309";"3818.229";"3943.978";"4339.520";"2873.778";"4539.648";"3321.211";"2363.136";"2419.409";"2263.266";"3766.146";"3021.557";"2656.038";"4119.399";"3861.018";"1062.019";"1646.602";"3210.955";"4068.760";"3388.278";"1793.491";"3938.034";"3510.713";"1781.934";"3415.223";"2345.950";"3054.787";"2459.077";"2565.446";"4272.050";"3203.403";"2242.594";"3253.695";"4267.642";"3611.237"
"3am";"4494.075";"2285.883";"3254.477";"3360.631";"3631.971";"3090.772";"1610.309";"3818.229";"3943.978";"4339.520";"2873.778";"4539.648";"3321.211";"2363.136";"2419.409";"2263.266";"3766.146";"3021.557";"2656.038";"4119.399";"3861.018";"1062.019";"1646.602";"3210.955";"4068.760";"3388.278";"1793.491";"3938.034";"3510.713";"1781.934";"3415.223";"2345.950";"3054.787";"2459.077";"2565.446";"4272.050";"3203.403";"2242.594";"3253.695";"4267.642";"3611.237"
