"hour","age1","age2","age3","age4"
"4am",0.1829,0.2115,0.1389,0.1658
"5am",0.1858,0.2095,0.1398,0.1651
"6am",0.1973,0.2036,0.141,0.1633
"7am",0.2784,0.1946,0.1547,0.183
"8am",0.2999,0.1735,0.1697,0.2177
"9am",0.304,0.161,0.16,0.2334
"10am",0.3054,0.1638,0.1623,0.2449
"11am",0.3002,0.1616,0.1675,0.2391
"12am",0.2741,0.1629,0.1591,0.2262
"1pm",0.2867,0.1591,0.1673,0.2341
"2pm",0.2782,0.1547,0.158,0.2204
"3pm",0.2784,0.1498,0.1642,0.217
"4pm",0.2311,0.1674,0.1432,0.1969
"5pm",0.2023,0.1845,0.1312,0.1854
"6pm",0.1911,0.2013,0.1342,0.1729
"7pm",0.1776,0.2113,0.1376,0.1706
"8pm",0.177,0.2067,0.1354,0.1674
"9pm",0.1842,0.2066,0.1403,0.1729
"10pm",0.1872,0.2125,0.1409,0.1726
"11pm",0.1851,0.2121,0.142,0.1717
"12pm",0.1838,0.2126,0.1404,0.1708
"1am",0.1815,0.2082,0.1396,0.1699
"2am",0.1802,0.2098,0.14,0.1676
"3am",0.1789,0.2107,0.1395,0.167
