"hour","mode1","mode2","mode3"
"4am",0.3015,0.3838,0.3597
"5am",0.3061,0.3833,0.3582
"6am",0.3157,0.3837,0.3542
"7am",0.3796,0.388,0.3191
"8am",0.3948,0.3754,0.2935
"9am",0.4016,0.38,0.2832
"10am",0.4053,0.3736,0.2766
"11am",0.4063,0.3798,0.2846
"12am",0.3821,0.3882,0.3001
"1pm",0.3759,0.3938,0.3163
"2pm",0.3828,0.3923,0.3123
"3pm",0.3803,0.4046,0.3306
"4pm",0.3595,0.3964,0.3286
"5pm",0.3356,0.3875,0.3344
"6pm",0.3096,0.384,0.3533
"7pm",0.3038,0.3816,0.3528
"8pm",0.2969,0.3801,0.3533
"9pm",0.2959,0.3793,0.3534
"10pm",0.2941,0.3786,0.3557
"11pm",0.29,0.3797,0.3608
"12pm",0.2891,0.3795,0.3613
"1am",0.2888,0.3817,0.3639
"2am",0.2887,0.3813,0.3653
"3am",0.289,0.3822,0.3662
