"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.29,0.1638,0.1079,0.2418
"5am",0.2845,0.162,0.1081,0.2408
"6am",0.2824,0.1495,0.108,0.2348
"7am",0.2859,0.1478,0.1259,0.2432
"8am",0.299,0.1477,0.1259,0.2403
"9am",0.2997,0.1523,0.124,0.2522
"10am",0.3001,0.1509,0.1223,0.2455
"11am",0.2996,0.1493,0.1223,0.2459
"12am",0.298,0.1505,0.117,0.249
"1pm",0.2953,0.1533,0.1251,0.2475
"2pm",0.292,0.1486,0.1108,0.2356
"3pm",0.2787,0.1595,0.1311,0.2285
"4pm",0.2701,0.1595,0.1288,0.2384
"5pm",0.2782,0.1483,0.1079,0.2498
"6pm",0.2838,0.1447,0.1089,0.231
"7pm",0.2883,0.1498,0.1097,0.2372
"8pm",0.2937,0.1517,0.1095,0.2358
"9pm",0.2934,0.1573,0.1122,0.2389
"10pm",0.2953,0.1616,0.1113,0.2435
"11pm",0.2933,0.1664,0.1104,0.2438
"12pm",0.2923,0.1659,0.1108,0.2413
"1am",0.2929,0.1667,0.1133,0.243
"2am",0.2932,0.1667,0.1137,0.2421
"3am",0.2936,0.167,0.1137,0.2415
