"hour","sex1","sex2"
"4am",0.0554,0.0554
"5am",0.0604,0.0604
"6am",0.071,0.071
"7am",0.1017,0.1017
"8am",0.1169,0.1169
"9am",0.1144,0.1144
"10am",0.1233,0.1233
"11am",0.1194,0.1194
"12am",0.1053,0.1053
"1pm",0.1065,0.1065
"2pm",0.1083,0.1083
"3pm",0.1022,0.1022
"4pm",0.0914,0.0914
"5pm",0.0865,0.0865
"6pm",0.0693,0.0693
"7pm",0.0636,0.0636
"8pm",0.0591,0.0591
"9pm",0.0595,0.0595
"10pm",0.0607,0.0607
"11pm",0.0577,0.0577
"12pm",0.0551,0.0551
"1am",0.056,0.056
"2am",0.0557,0.0557
"3am",0.0555,0.0555
