"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.2514,0.2378,0.122,0.1618,0.285
"5am",0.247,0.233,0.1242,0.1585,0.2872
"6am",0.238,0.2307,0.121,0.1539,0.2915
"7am",0.2217,0.2234,0.1207,0.1519,0.2722
"8am",0.2384,0.2214,0.1015,0.1632,0.2589
"9am",0.237,0.2172,0.0953,0.1612,0.2523
"10am",0.2327,0.2108,0.0959,0.1546,0.2556
"11am",0.2277,0.2046,0.0976,0.1603,0.2384
"12am",0.2138,0.2115,0.1003,0.1589,0.2439
"1pm",0.229,0.2055,0.0981,0.1586,0.2371
"2pm",0.2031,0.1997,0.1025,0.153,0.2444
"3pm",0.2232,0.2026,0.1127,0.1545,0.274
"4pm",0.2288,0.2154,0.1125,0.163,0.2715
"5pm",0.2333,0.2244,0.1121,0.153,0.2811
"6pm",0.2285,0.2187,0.1183,0.154,0.2686
"7pm",0.2366,0.2231,0.1233,0.1573,0.2705
"8pm",0.2475,0.2255,0.1249,0.1629,0.2656
"9pm",0.2471,0.2321,0.1216,0.1641,0.2631
"10pm",0.2486,0.231,0.1207,0.1675,0.2708
"11pm",0.247,0.2337,0.1217,0.1668,0.27
"12pm",0.2487,0.2337,0.1185,0.167,0.2663
"1am",0.2492,0.2334,0.12,0.1666,0.2739
"2am",0.2494,0.2338,0.1194,0.1651,0.2749
"3am",0.2499,0.2335,0.1196,0.1659,0.2749
