"hour","act1","act2","act3","act4","act5"
"4am",0.4175,0.5453,0.8824,0.976,0.5268
"5am",0.3803,0.4752,0.8832,0.9737,0.5176
"6am",0.3408,0.3943,0.7604,0.939,0.4984
"7am",0.2816,0.3064,0.5236,0.7935,0.3756
"8am",0.2897,0.2937,0.4965,0.3942,0.2648
"9am",0.2802,0.2796,0.4957,0.4021,0.2013
"10am",0.2775,0.2697,0.4988,0.397,0.2054
"11am",0.2976,0.2695,0.489,0.4454,0.1879
"12am",0.3361,0.284,0.4841,0.5916,0.236
"1pm",0.3072,0.2772,0.4927,0.5187,0.1942
"2pm",0.2866,0.264,0.4903,0.4507,0.1864
"3pm",0.2782,0.2643,0.4909,0.4512,0.2036
"4pm",0.2802,0.2688,0.4923,0.4397,0.1823
"5pm",0.2806,0.2855,0.59,0.4265,0.173
"6pm",0.255,0.2999,0.7678,0.4449,0.2101
"7pm",0.2406,0.3654,0.8503,0.6859,0.2083
"8pm",0.2597,0.4027,0.8539,0.8613,0.2571
"9pm",0.2556,0.4755,0.8665,0.946,0.2618
"10pm",0.306,0.4727,0.9471,0.956,0.3278
"11pm",0.3265,0.5286,0.9614,0.9791,0.3528
"12pm",0.3675,0.5178,0.9905,0.976,0.381
"1am",0.4043,0.5318,0.9906,0.9866,0.4352
"2am",0.4388,0.5529,0.9905,0.9866,0.4714
"3am",0.4339,0.5418,0.9905,0.9866,0.4708
