"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.1302,0.237,0.2332,0.1387,0.2452
"5am",0.1302,0.2397,0.2328,0.1369,0.2462
"6am",0.1315,0.2565,0.2273,0.1389,0.2517
"7am",0.1545,0.3514,0.2288,0.1749,0.2523
"8am",0.2012,0.387,0.2544,0.2214,0.2694
"9am",0.2074,0.3898,0.2517,0.2398,0.268
"10am",0.2132,0.3933,0.2467,0.2511,0.2787
"11am",0.2096,0.384,0.256,0.2443,0.2772
"12am",0.1939,0.3445,0.2412,0.2263,0.286
"1pm",0.1976,0.3589,0.2163,0.2343,0.2818
"2pm",0.1848,0.356,0.2341,0.2215,0.256
"3pm",0.1928,0.3456,0.27,0.2118,0.2638
"4pm",0.1623,0.2899,0.2389,0.1872,0.263
"5pm",0.1451,0.261,0.2479,0.1679,0.2387
"6pm",0.1191,0.2464,0.2412,0.1438,0.2262
"7pm",0.1172,0.2319,0.2513,0.1426,0.2456
"8pm",0.1241,0.2298,0.2422,0.1385,0.2458
"9pm",0.1275,0.2366,0.251,0.1436,0.2426
"10pm",0.1265,0.2396,0.2469,0.1425,0.2388
"11pm",0.1284,0.2387,0.2459,0.1413,0.2486
"12pm",0.1269,0.2365,0.2418,0.1411,0.2456
"1am",0.1282,0.2325,0.2398,0.1393,0.2461
"2am",0.1295,0.2288,0.2376,0.1379,0.2457
"3am",0.1294,0.2272,0.2373,0.1373,0.2457
