"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.2136,0.2147,0.1146,0.1256,0.2123
"5am",0.2127,0.2155,0.1135,0.1251,0.2112
"6am",0.211,0.2282,0.1122,0.1214,0.2146
"7am",0.213,0.2164,0.1151,0.1248,0.2121
"8am",0.244,0.2188,0.1163,0.1249,0.2077
"9am",0.2503,0.215,0.1132,0.1162,0.2019
"10am",0.2557,0.2146,0.1103,0.1204,0.2027
"11am",0.2393,0.2207,0.1065,0.1258,0.2005
"12am",0.2338,0.2152,0.1066,0.1236,0.2116
"1pm",0.2371,0.2161,0.105,0.1259,0.2118
"2pm",0.2173,0.2069,0.1115,0.1233,0.2059
"3pm",0.2491,0.2075,0.117,0.1131,0.215
"4pm",0.2456,0.2171,0.1142,0.1079,0.2233
"5pm",0.2304,0.2023,0.1135,0.1214,0.219
"6pm",0.2039,0.1929,0.111,0.1262,0.2043
"7pm",0.2071,0.2021,0.1125,0.1221,0.2009
"8pm",0.2158,0.2068,0.1175,0.129,0.2
"9pm",0.2161,0.2109,0.1148,0.1284,0.2
"10pm",0.2208,0.2114,0.1165,0.1282,0.2008
"11pm",0.2209,0.2155,0.1151,0.1293,0.2025
"12pm",0.216,0.2157,0.1138,0.1278,0.2014
"1am",0.2151,0.2142,0.113,0.1275,0.2041
"2am",0.2156,0.2142,0.1134,0.1267,0.2042
"3am",0.2164,0.2138,0.1128,0.1256,0.2058
