"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.348850556936206,0.504725004647799,0.415579064766345,0.593763239807882
"5am",0.359893328028852,0.497605849332964,0.413762809664682,0.585573542562333
"6am",0.366023840205149,0.438623961987443,0.404708294943504,0.5782954279812
"7am",0.368321411299396,0.426002281006527,0.296061267612374,0.489094547280994
"8am",0.340748200808679,0.376196185765878,0.144464334339931,0.502867361404897
"9am",0.319386429645178,0.371959980389397,0.144555474721927,0.493453537079207
"10am",0.32113078178685,0.309539367312526,0.158064036606869,0.509101104320365
"11am",0.336355394626902,0.381836350529871,0.186316375741641,0.511740433319645
"12am",0.341196922454862,0.44604826692939,0.187057799534742,0.549919107987537
"1pm",0.345473655253,0.378850013774207,0.187427283608436,0.50288672848517
"2pm",0.370568437862858,0.397596151646407,0.152044642183081,0.506293270986697
"3pm",0.305002702590211,0.415661795939498,0.163690426131247,0.444249607481212
"4pm",0.358457504412524,0.403890961105026,0.212537612024468,0.449546909620473
"5pm",0.34002115589365,0.43627852165657,0.273881523160858,0.522604777906259
"6pm",0.36184868466987,0.448439198212427,0.352810167633118,0.602129098702271
"7pm",0.377990147301724,0.477077084696727,0.350131903078225,0.591121489540494
"8pm",0.38476687348932,0.512282568807169,0.383157761655055,0.600393983315332
"9pm",0.364594143913773,0.507211891907055,0.343408780169426,0.590143755122007
"10pm",0.371481684325615,0.487784239978959,0.32971266825603,0.584080488073532
"11pm",0.363584375297895,0.485986554959008,0.371868843804934,0.602786402457033
"12pm",0.355191248094837,0.475274910917275,0.346423161889666,0.605314286471464
"1am",0.361504791015677,0.480891619529374,0.361113387313827,0.610826036317115
"2am",0.359556183726407,0.480036237331924,0.358870798948098,0.611103437919632
"3am",0.357143673450175,0.475713856248325,0.347315753241943,0.610351937553274
