"hour","resarea1","resarea2","resarea3"
"4am",0.9816,0.9842,0.9844
"5am",0.9698,0.9765,0.9795
"6am",0.935,0.9532,0.9598
"7am",0.815,0.8456,0.865
"8am",0.7027,0.7006,0.731
"9am",0.6311,0.6289,0.6682
"10am",0.6327,0.6113,0.6472
"11am",0.6416,0.6317,0.6666
"12am",0.6621,0.6689,0.695
"1pm",0.6408,0.6404,0.6718
"2pm",0.6156,0.6213,0.6478
"3pm",0.6025,0.6162,0.6536
"4pm",0.6976,0.6755,0.7052
"5pm",0.8179,0.8071,0.8248
"6pm",0.8876,0.8877,0.8991
"7pm",0.9176,0.9256,0.9341
"8pm",0.9383,0.9378,0.939
"9pm",0.9477,0.9506,0.9536
"10pm",0.9694,0.9635,0.9636
"11pm",0.9789,0.976,0.9768
"12pm",0.9878,0.9824,0.9823
"1am",0.9887,0.9875,0.9876
"2am",0.9888,0.9889,0.9892
"3am",0.9888,0.9894,0.9896
