"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.2975,0.1729,0.1666,0.2923
"5am",0.2937,0.1715,0.1625,0.2905
"6am",0.2934,0.161,0.1522,0.2917
"7am",0.2998,0.1484,0.1597,0.2862
"8am",0.3087,0.1352,0.1412,0.291
"9am",0.3042,0.1419,0.1418,0.2915
"10am",0.2999,0.1405,0.1393,0.2825
"11am",0.3061,0.1366,0.1454,0.2901
"12am",0.2998,0.1467,0.1463,0.2898
"1pm",0.2984,0.15,0.1554,0.281
"2pm",0.2881,0.1458,0.1486,0.2623
"3pm",0.2768,0.1586,0.157,0.2579
"4pm",0.2755,0.1572,0.1547,0.2655
"5pm",0.2857,0.158,0.1461,0.2812
"6pm",0.2953,0.1589,0.1582,0.2763
"7pm",0.2968,0.1579,0.1671,0.2807
"8pm",0.2939,0.1612,0.1688,0.2791
"9pm",0.2934,0.1698,0.1695,0.2802
"10pm",0.2973,0.1687,0.1679,0.2862
"11pm",0.2969,0.1743,0.169,0.2883
"12pm",0.3001,0.1719,0.1695,0.2888
"1am",0.3016,0.175,0.1702,0.2917
"2am",0.3018,0.1751,0.1711,0.2902
"3am",0.3021,0.1752,0.1715,0.2897
