"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"3597.155";"3597.155";"3597.155";"3597.155";"3597.155";"3597.155";"3597.155";"3597.155";"3597.155";"3597.155";"3597.155";"3597.155";"3597.155";"3597.155";"3597.155";"3597.155";"3597.155";"3597.155";"3597.155"
"4am";" 0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";" 0"
"5am";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0"
"7am";"   0.000";"   0.000";"   0.000";"   0.000";" 471.483";"1249.452";"   0.000";"   0.000";"   0.000";" 757.880";"   0.000";"   0.000";"   0.000";"1077.807";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"8am";"1106.751";"   0.000";"   0.000";"   0.000";" 603.510";"2713.752";"   0.000";"   0.000";"   0.000";"1669.888";"   0.000";"   0.000";" 654.920";"1600.266";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"9am";"1534.584";"   0.000";"   0.000";" 645.583";" 735.623";"3162.114";" 482.573";"   0.000";"   0.000";"1632.281";"   0.000";"   0.000";" 675.301";"1612.970";"   0.000";"   0.000";"   0.000";"   0.000";" 395.685"
"10am";"1491.486";"   0.000";"   0.000";" 741.971";" 747.488";"3360.811";" 540.243";"   0.000";"   0.000";"1844.636";"   0.000";"   0.000";" 736.406";"1527.562";"   0.000";" 734.923";"   0.000";"   0.000";"   0.000"
"11am";"1427.329";"   0.000";"   0.000";"   0.000";" 674.192";"3550.187";"   0.000";"   0.000";"   0.000";"1689.608";"   0.000";"   0.000";" 701.659";"1630.790";"   0.000";" 732.042";"   0.000";"   0.000";" 409.331"
"12am";"1376.080";"   0.000";"   0.000";"   0.000";"   0.000";"2729.431";"   0.000";"   0.000";"   0.000";"1013.184";"   0.000";"   0.000";"   0.000";"1303.896";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"1pm";"1217.027";"   0.000";"   0.000";"   0.000";" 691.583";"2903.640";" 463.650";"   0.000";"   0.000";"1659.514";"   0.000";"   0.000";" 601.206";"1713.325";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"2pm";"1240.196";"   0.000";"   0.000";" 561.824";" 760.393";"3597.155";"   0.000";"   0.000";"   0.000";"1879.424";"   0.000";"   0.000";" 866.184";"1788.813";"   0.000";" 472.900";"   0.000";"   0.000";"   0.000"
"3pm";"1389.481";"   0.000";"   0.000";" 476.158";" 643.235";"3421.159";"   0.000";"   0.000";"   0.000";"1736.423";"   0.000";"   0.000";"1049.249";"1191.022";"   0.000";" 449.522";"   0.000";"   0.000";" 569.547"
"4pm";"1260.873";"   0.000";"   0.000";"1051.903";" 389.313";"2916.923";" 489.389";"   0.000";"   0.000";"1183.478";"   0.000";"   0.000";" 866.090";"1268.282";"   0.000";" 407.830";"   0.000";"   0.000";"   0.000"
"5pm";" 929.234";"   0.000";"   0.000";"   0.000";"   0.000";"1867.110";"   0.000";"   0.000";"   0.000";" 572.531";"   0.000";"   0.000";" 768.730";" 893.604";"   0.000";" 493.562";"   0.000";"   0.000";"   0.000"
"6pm";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"970.076";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"593.158";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"7pm";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"845.596";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"8pm";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"1138.93";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"0";"   0.00";"   0.00"
"9pm";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"983.575";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000"
"10pm";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";" 0"
"11pm";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";" 0"
"12pm";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";"0";"0";" 0"
"1am";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";"0";"0";" 0";"0";" 0";"0";"0";" 0"
"2am";" 0";"0";"0";" 0";"0";" 0";" 0";"0";"0";" 0";"0";"0";"0";"0";"0";" 0";"0";"0";" 0"
"3am";" 0";"0";"0";" 0";"0";" 0";" 0";"0";"0";" 0";"0";"0";"0";"0";"0";" 0";"0";"0";" 0"
