"hour","sex1","sex2"
"4am",0.0454,0.0454
"5am",0.0431,0.0431
"6am",0.0472,0.0472
"7am",0.0617,0.0617
"8am",0.0739,0.0739
"9am",0.0761,0.0761
"10am",0.0747,0.0747
"11am",0.0788,0.0788
"12am",0.0806,0.0806
"1pm",0.0802,0.0802
"2pm",0.0823,0.0823
"3pm",0.0747,0.0747
"4pm",0.0532,0.0532
"5pm",0.05,0.05
"6pm",0.0475,0.0475
"7pm",0.0417,0.0417
"8pm",0.0421,0.0421
"9pm",0.0432,0.0432
"10pm",0.0439,0.0439
"11pm",0.0449,0.0449
"12pm",0.0455,0.0455
"1am",0.0446,0.0446
"2am",0.0442,0.0442
"3am",0.0447,0.0447
