"hour","rev5","rev1","rev2","rev3","rev4"
"4am",0.1592,0.2582,0.1336,0.1572,0.291
"5am",0.1599,0.259,0.1337,0.1569,0.2889
"6am",0.1616,0.2503,0.1343,0.1545,0.2845
"7am",0.1516,0.2268,0.1236,0.1275,0.2303
"8am",0.1458,0.1984,0.113,0.1014,0.2028
"9am",0.1477,0.1866,0.1093,0.098,0.189
"10am",0.145,0.1872,0.1045,0.1028,0.1928
"11am",0.1476,0.1921,0.1017,0.1028,0.1895
"12am",0.1473,0.1883,0.1012,0.0984,0.1948
"1pm",0.1445,0.1853,0.1032,0.0987,0.1932
"2pm",0.1455,0.1843,0.1028,0.0944,0.1949
"3pm",0.1394,0.1967,0.1047,0.0983,0.1931
"4pm",0.1442,0.2222,0.1226,0.1189,0.2171
"5pm",0.1553,0.2336,0.1257,0.1372,0.2303
"6pm",0.1536,0.2343,0.1291,0.1378,0.2443
"7pm",0.1586,0.2365,0.1305,0.1388,0.2521
"8pm",0.1591,0.2384,0.133,0.1437,0.2548
"9pm",0.1659,0.2502,0.1335,0.15,0.2654
"10pm",0.1663,0.2546,0.1339,0.1525,0.2813
"11pm",0.1645,0.2584,0.1334,0.1531,0.2888
"12pm",0.1644,0.2583,0.1333,0.1519,0.2916
"1am",0.1645,0.2592,0.1338,0.1519,0.2922
"2am",0.164,0.2601,0.1332,0.1517,0.2927
"3am",0.1642,0.2604,0.133,0.1525,0.2929
