"hour","act1","act2","act3","act4","act5"
"4am",0.1708,0.2864,0.5886,0.602,0.2426
"5am",0.2016,0.2765,0.5598,0.6033,0.2315
"6am",0.2562,0.2936,0.5464,0.5361,0.1971
"7am",0.2581,0.2588,0.551,0.3202,0.2171
"8am",0.3176,0.2501,0.5735,0.3172,0.1979
"9am",0.3212,0.2403,0.581,0.4331,0.2214
"10am",0.3271,0.2369,0.5815,0.424,0.2224
"11am",0.3306,0.2389,0.5805,0.4347,0.2595
"12am",0.3376,0.242,0.5792,0.4399,0.2677
"1pm",0.3377,0.2379,0.5787,0.4119,0.2582
"2pm",0.3435,0.2482,0.5773,0.4173,0.2429
"3pm",0.3454,0.2549,0.5883,0.4074,0.2469
"4pm",0.3442,0.2802,0.6633,0.3732,0.2382
"5pm",0.3534,0.3078,0.6788,0.429,0.2914
"6pm",0.3384,0.3038,0.6605,0.4601,0.299
"7pm",0.3355,0.3273,0.6705,0.4657,0.3046
"8pm",0.3419,0.3475,0.6941,0.4502,0.329
"9pm",0.3566,0.3636,0.7274,0.4509,0.3661
"10pm",0.3547,0.4128,0.7429,0.4948,0.3687
"11pm",0.398,0.4757,0.8291,0.6004,0.4157
"12pm",0.4085,0.4726,0.8291,0.6017,0.4436
"1am",0.4206,0.464,0.8295,0.6022,0.4809
"2am",0.4244,0.4877,0.8294,0.6007,0.4675
"3am",0.4203,0.4882,0.8294,0.6375,0.4575
