"hour","mode1","mode2","mode3"
"4am",0.29,0.3364,0.3953
"5am",0.2855,0.3329,0.3945
"6am",0.2756,0.3266,0.3872
"7am",0.3045,0.3283,0.3403
"8am",0.4292,0.3698,0.2916
"9am",0.4316,0.367,0.2841
"10am",0.4394,0.3746,0.2939
"11am",0.432,0.3747,0.3
"12am",0.4147,0.3666,0.2952
"1pm",0.4103,0.3644,0.3034
"2pm",0.3952,0.3614,0.3028
"3pm",0.3836,0.3534,0.3023
"4pm",0.2851,0.3166,0.3478
"5pm",0.2766,0.3163,0.3732
"6pm",0.2609,0.3074,0.3678
"7pm",0.263,0.3117,0.3741
"8pm",0.2788,0.3252,0.3777
"9pm",0.2888,0.3352,0.3894
"10pm",0.2905,0.3426,0.4024
"11pm",0.2915,0.3437,0.4054
"12pm",0.2918,0.3434,0.4051
"1am",0.2906,0.3433,0.4042
"2am",0.2898,0.3428,0.4039
"3am",0.29,0.3438,0.4053
