"hour","act1","act2","act3","act4","act5"
"4am",-0.0695928116976459,-0.16792254897808,-0.119125384327855,0.0897593954760671,0.0333945811339144
"5am",-0.160654104913271,-0.134269920935309,-0.0845807567446917,0.0867490502876688,0.0638813858923612
"6am",-0.0496197837162774,-0.0640246254600565,0.0887281117727134,-0.0551063608908734,0.229619718504514
"7am",0.0565117123817276,-0.0278075314562257,0.0397849260337297,-0.0168230737259215,0.117799751138863
"8am",0.136295606478216,0.0370470321788028,0.028137536732853,0.125847383416017,-0.0260535029776718
"9am",0.155682787840144,0.0536977111955378,0.0131639785256206,0.0484531029602856,-0.0264566295178327
"10am",0.160542540040298,0.0804063335589376,0.00581788047001729,0.078691024290222,-0.0431234918391295
"11am",0.157808408181495,0.0863349490105488,0.00706164130195201,0.0750901974070906,-0.0779252335458437
"12am",0.163922645930856,0.0776762963497299,8.74970733504149e-05,0.0925057361221122,-0.0442314674865451
"1pm",0.188107942992797,0.0787849173327388,-0.000440104454839236,0.0127308756746222,-0.0719260732564986
"2pm",0.201410228226288,0.0757301636378586,0.00334686204124055,0.0667847963430078,-0.0482685761826648
"3pm",0.192319858147018,0.0945407486880567,-0.00240335908103286,0.111186186800868,0.00618675684396957
"4pm",0.190768661606768,0.172815295394395,-0.058093682057205,0.0889331710699357,0.156444760872474
"5pm",0.186570287568326,0.166714606363832,-0.0774717478859682,0.0384704441686794,0.225044251070999
"6pm",0.201482696528964,0.124782454462976,-0.0623883420560408,0.0356079388375279,0.247394425297537
"7pm",0.200358234857847,0.113047757130348,-0.0772477208462425,0.0740350246281319,0.193300710557094
"8pm",0.165449477952429,0.0658353712697512,-0.0746787379446278,0.188274669125279,0.135899897246198
"9pm",0.0566216904421898,0.0355119995997424,-0.075403679237249,0.0370943207561141,0.0991953741106742
"10pm",0.000442674419883948,-0.0546452594732057,-0.0781011908528768,-0.0434872705203629,0.0573114495446132
"11pm",-0.0404476102870712,-0.049705439525134,-0.0192287649412071,-0.00595574984439862,0.0537042134635818
"12pm",-0.0674629234456795,-0.0819055994084111,-0.0128523456283495,0.0364542318454934,0.0187166689214601
"1am",-0.044827865819448,-0.0816543325999992,-0.00552934403699688,0.036542105770438,-0.0310423137823383
"2am",0.0630560867515576,-0.0650142187780769,-0.00553224550363788,-0.00183047631375792,-0.0370336264410744
"3am",0.125925504805473,-0.0600053368585401,0.0156599274697663,-0.0527336139995938,-0.035685635042058
