"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.1833,0.2728,0.2029,0.1369,0.1045
"5am",0.1793,0.272,0.2035,0.1355,0.1058
"6am",0.1614,0.271,0.2062,0.1364,0.1147
"7am",0.1462,0.3209,0.2111,0.1438,0.137
"8am",0.1674,0.4042,0.2149,0.1925,0.1672
"9am",0.1683,0.421,0.2089,0.1911,0.1626
"10am",0.1659,0.4285,0.1961,0.1959,0.1611
"11am",0.168,0.4234,0.2107,0.1942,0.1668
"12am",0.1657,0.4216,0.2045,0.1903,0.1662
"1pm",0.1631,0.4199,0.2011,0.1928,0.1716
"2pm",0.1646,0.415,0.1973,0.1883,0.1768
"3pm",0.1595,0.3975,0.199,0.1734,0.1691
"4pm",0.1493,0.3259,0.2071,0.1405,0.1239
"5pm",0.1676,0.3082,0.1919,0.1343,0.1112
"6pm",0.1667,0.2952,0.1926,0.1354,0.1014
"7pm",0.169,0.2933,0.2056,0.1388,0.0985
"8pm",0.1745,0.2935,0.2041,0.1437,0.1031
"9pm",0.1805,0.2922,0.204,0.1457,0.1051
"10pm",0.1834,0.2858,0.2046,0.1462,0.1051
"11pm",0.1847,0.2825,0.2004,0.146,0.1039
"12pm",0.1849,0.282,0.1978,0.1457,0.1044
"1am",0.1847,0.2828,0.1994,0.1454,0.1046
"2am",0.1849,0.2825,0.2,0.1457,0.1047
"3am",0.1852,0.2825,0.1982,0.1456,0.1047
