"hour","age1","age2","age3","age4"
"4am",0.2226,0.1018,0.1604,0.1523
"5am",0.2206,0.1029,0.1595,0.151
"6am",0.2172,0.0962,0.1495,0.1488
"7am",0.2557,0.1025,0.1385,0.1415
"8am",0.3214,0.098,0.148,0.17
"9am",0.3371,0.0984,0.1511,0.1731
"10am",0.3445,0.0975,0.1522,0.174
"11am",0.3397,0.0981,0.1492,0.1714
"12am",0.3381,0.1,0.1442,0.1724
"1pm",0.3365,0.1009,0.146,0.1746
"2pm",0.3325,0.0963,0.1445,0.1688
"3pm",0.3202,0.0918,0.1419,0.1586
"4pm",0.2608,0.0933,0.1412,0.1395
"5pm",0.2489,0.0962,0.1534,0.1457
"6pm",0.2363,0.1001,0.1449,0.1507
"7pm",0.2351,0.0974,0.1504,0.1507
"8pm",0.2398,0.1084,0.1539,0.1545
"9pm",0.2404,0.1123,0.1612,0.1585
"10pm",0.2355,0.1086,0.1648,0.1604
"11pm",0.231,0.1068,0.1663,0.1601
"12pm",0.2323,0.1049,0.166,0.1593
"1am",0.2323,0.1057,0.1664,0.1591
"2am",0.2318,0.106,0.1656,0.1588
"3am",0.2317,0.1053,0.1657,0.1587
