"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541";"9009.19541"
"4am";"2403.5207";"1888.8472";"1597.1297";"1982.2505";"1192.6631";"2434.4757";"1470.8557";"1466.5025";"1490.2910";"1381.3196";" 943.3744";" 799.7314";" 747.9925";"1137.1173";" 715.8127";"1236.1640";" 877.2422";"1303.3882";"1812.3062";"1429.3696";" 623.6713";" 209.8982";" 269.6376";" 360.5928";" 335.3866";" 267.9142";" 295.6676";" 525.3239"
"5am";"2403.5207";"1888.8472";"1597.1297";"1982.2505";"1136.8019";"2490.3369";"1470.8557";"1466.5025";"1441.3055";"1430.3051";" 943.3744";" 799.7314";" 833.7499";"1204.1985";" 715.8127";"1236.1640";" 877.2422";"1303.3882";"1812.3062";"1276.5311";" 623.6713";" 209.8982";" 269.6376";" 360.5928";" 335.3866";" 267.9142";" 295.6676";" 525.3239"
"6am";"2256.0254";"1816.8369";"1597.1297";"1910.3648";"1142.8481";"2677.6959";"1470.8557";"1422.1152";"1159.7658";"1502.3153";" 943.3744";" 799.7314";" 833.7499";"1269.6074";" 886.7490";"1080.8240";" 877.2422";"1170.4205";"1812.3062";"1209.4498";" 623.6713";" 209.8982";" 269.6376";" 264.5336";" 335.3866";" 267.9142";" 295.6676";" 476.4667"
"7am";"2198.15169";"1795.86520";"1374.05748";"1420.77674";"1037.52491";"2830.33516";"1440.40718";"1220.68574";" 742.54284";"1726.15817";" 721.08760";"1177.19573";" 933.93206";"1335.33147";"1256.39633";" 955.93120";" 626.69086";" 751.80718";"1551.89030";" 888.76008";" 476.99580";"  89.28015";" 153.05588";" 316.06921";" 255.96588";" 267.91417";" 177.85884";" 457.45422"
"8am";"2148.88768";"1169.89124";"1395.25348";"1554.51481";"1271.32023";"2435.08370";" 920.49155";"1022.17237";" 646.61587";"1842.14103";" 823.91566";"1940.07788";" 800.28439";"1435.46917";"1906.67692";" 935.78367";" 756.00406";" 353.77414";"1109.82120";" 874.70648";" 376.87995";"  51.01723";"  38.65173";" 126.42887";"  79.42068";" 135.63886";"  31.70482";" 608.77087"
"9am";"2366.62849";"1255.61866";"1627.21489";"1700.58183";"1215.45902";"2280.34592";" 979.90122";"1227.30106";" 512.53880";"1909.79395";" 808.48506";"2048.63036";" 790.64736";"1260.67029";"1864.91900";" 935.78367";" 794.71677";" 311.06441";"1066.12447";" 874.70648";" 327.87456";"  51.01723";"  38.65173";" 126.42887";"  79.42068";"  92.71353";"  31.70482";" 652.46450"
"10am";"2463.62746";"1492.32152";"1552.96031";"1492.63041";"1139.37874";"2402.70642";" 929.35119";"1064.04678";" 549.76940";"2094.60085";" 738.45795";"1992.06762";" 727.97603";"1299.81727";"2012.61980";"1051.75491";" 794.71677";" 311.06441";"1032.98903";" 742.66612";" 378.89179";"   0.00000";"  38.65173";" 126.42887";" 192.75078";"  54.00082";"  31.70482";" 652.46450"
"11am";"2675.35219";"1441.77149";"1482.47109";"1217.48027";"1235.73674";"2456.02336";" 998.13422";"1114.74975";" 601.08579";"2094.60085";" 821.73423";"1926.69940";" 720.72915";"1449.18595";"1777.08028";" 904.76568";" 794.71677";" 352.30119";" 936.63103";" 686.05708";" 327.87456";"  51.01723";"  38.65173";" 126.42887";"  79.42068";"  86.77104";"  31.70482";" 619.69428"
