"hour","resarea1","resarea2","resarea3"
"4am",0.9906,0.9874,0.9871
"5am",0.9788,0.9741,0.9713
"6am",0.9596,0.9584,0.9583
"7am",0.8175,0.8405,0.8522
"8am",0.6906,0.7301,0.76
"9am",0.6729,0.6984,0.7224
"10am",0.6672,0.6904,0.7091
"11am",0.679,0.7098,0.7333
"12am",0.7171,0.748,0.7736
"1pm",0.6584,0.7167,0.7491
"2pm",0.628,0.6897,0.7199
"3pm",0.6581,0.695,0.7093
"4pm",0.7205,0.7552,0.7612
"5pm",0.8605,0.8519,0.8199
"6pm",0.893,0.8939,0.8869
"7pm",0.9278,0.9258,0.9155
"8pm",0.9641,0.9635,0.9504
"9pm",0.9767,0.976,0.9708
"10pm",0.9865,0.9869,0.9861
"11pm",0.9945,0.9943,0.9956
"12pm",0.9945,0.995,0.9962
"1am",0.9933,0.995,0.9968
"2am",0.9933,0.995,0.9968
"3am",0.9933,0.995,0.9968
