"hour","mode1","mode2","mode3"
"4am",0.1982,0.1699,0.1853
"5am",0.2012,0.1782,0.1908
"6am",0.2282,0.185,0.197
"7am",0.3851,0.2289,0.1982
"8am",0.4227,0.2105,0.1672
"9am",0.4447,0.1984,0.1551
"10am",0.446,0.2043,0.1793
"11am",0.4386,0.208,0.1732
"12am",0.4016,0.2112,0.1768
"1pm",0.3971,0.2109,0.156
"2pm",0.3911,0.2074,0.1652
"3pm",0.3714,0.2171,0.1701
"4pm",0.294,0.1948,0.1575
"5pm",0.2323,0.1788,0.1743
"6pm",0.2048,0.1766,0.1896
"7pm",0.209,0.1733,0.1857
"8pm",0.2004,0.1748,0.19
"9pm",0.1943,0.1716,0.1858
"10pm",0.1966,0.1692,0.1808
"11pm",0.198,0.1714,0.1829
"12pm",0.1979,0.1723,0.1825
"1am",0.1975,0.1733,0.183
"2am",0.1967,0.1733,0.183
"3am",0.1962,0.1733,0.183
